r,l,t
0.34,18,0.02038
0.32,26,0.031624
0.29,28,0.04454
0.38,18,0.052667
0.34,32,0.068552
0.41,24,0.079154
0.39,24,0.089221
0.33,18,0.096874
0.39,32,0.112323
0.34,22,0.124254
0.32,27,0.135619
0.42,32,0.149789
0.29,26,0.161181
0.38,22,0.17083
0.36,24,0.182777
0.2,32,0.197618
0.4,26,0.208612
0.41,24,0.218855
0.32,32,0.232603
0.31,32,0.246557
0.37,18,0.254643
0.31,20,0.263202
0.34,28,0.277836
0.38,30,0.290267
0.41,28,0.301808
0.43,26,0.312821
0.31,26,0.323774
0.32,24,0.334011
0.28,28,0.348775
0.37,26,0.359797
0.31,18,0.367548
0.3,32,0.381809
0.36,28,0.393775
0.4,28,0.405605
0.21,24,0.415843
0.28,22,0.425612
0.35,30,0.438318
0.36,30,0.451164
0.31,24,0.473896
0.34,24,0.484483
0.36,22,0.494206
0.4,28,0.506185
0.29,26,0.517182
0.44,28,0.529167
0.39,24,0.539402
0.42,20,0.550992
0.29,32,0.565599
0.43,24,0.576011
0.3,32,0.59295
0.35,18,0.600792
0.27,22,0.610083
0.35,22,0.619396
0.22,20,0.627928
0.38,32,0.646722
2.77,22,0.658206
0.35,18,0.669243
0.34,32,0.683473
2.89,22,0.692944
0.36,24,0.703243
0.31,20,0.711888
0.22,32,0.72673
0.31,32,0.740993
0.37,22,0.751814
0.29,20,0.762392
0.37,20,0.77086
0.26,20,0.779524
0.31,22,0.788893
0.29,24,0.801907
0.31,26,0.81298
0.32,26,0.823893
0.31,22,0.833297
0.4,26,0.844341
0.31,32,0.859028
0.35,20,0.867746
0.29,28,0.87957
0.43,30,0.892323
0.2,32,0.90655
0.39,28,0.918499
0.3,32,0.946403
0.32,22,0.955966
0.46,24,1.619781
0.41,22,1.629151
2.81,26,1.640126
0.37,32,1.656864
0.33,22,1.670531
0.34,26,1.681578
0.4,24,1.691968
2.79,18,1.699588
0.34,26,1.710545
0.32,24,1.720663
0.29,32,1.736676
0.43,28,1.749383
2.84,18,1.757387
0.3,26,1.768442
0.39,28,1.780121
0.44,22,1.78944
0.47,32,1.80352
0.31,32,1.8173
2.86,26,1.828045
0.32,26,1.838854
0.34,28,1.8504
2.99,18,1.863758
0.21,26,1.875739
0.32,22,1.884997
0.3,32,1.89906
0.34,32,1.913054
0.33,28,1.925059
0.33,30,1.93853
0.41,30,1.952066
0.31,26,1.962931
0.27,28,1.974759
0.5,32,1.988694
0.32,22,1.998157
0.37,20,2.006568
0.37,28,2.018787
0.27,18,2.026856
0.4,22,2.037487
0.26,30,2.065778
0.3,26,2.076777
0.38,28,2.088403
0.35,32,2.109046
0.32,24,2.119156
0.36,18,2.127019
0.33,19,2.135147
0.32,26,2.146169
0.39,32,2.160552
0.4,20,2.169534
0.35,20,2.178113
0.37,16,2.185064
0.43,20,2.194587
0.3,28,2.206305
0.33,26,2.217171
0.28,30,2.229533
0.32,26,2.24044
0.39,20,2.248886
0.34,26,2.259684
0.4,28,2.271187
0.21,26,2.282037
0.37,32,2.295882
0.36,32,2.310464
0.31,30,2.325575
0.4,32,2.339779
2.82,16,2.346748
