r,l,t
0.81,35,0.467831
0.97,35,0.499011
1.4,35,0.532686
1.51,35,0.55948
1.52,35,0.588759
1.93,35,0.615877
1.35,35,0.642455
2.1,35,0.670237
1.79,35,0.700755
1.36,35,0.732754
1.64,35,0.759285
1.41,35,0.793577
1.53,35,0.822292
0.01,35,0.848886
1.88,35,0.875549
2.0,35,0.913069
1.07,35,0.953911
1.93,35,0.980838
0.14,35,1.007645
0.93,35,1.035395
1.32,35,1.062583
0.74,35,1.09112
1.1,35,1.125419
1.94,35,1.15345
1.24,35,1.180665
0.4,35,1.208419
2.11,35,1.235643
0.68,35,1.263784
1.66,35,1.338385
2.63,35,1.370451
0.49,35,1.408648
2.93,35,1.439629
1.75,35,1.466882
0.71,35,1.494536
1.13,35,1.522685
0.68,35,1.561366
1.54,35,1.589773
1.3,35,1.618209
0.74,35,1.64728
0.46,35,1.674006
1.63,35,1.703026
1.22,35,1.730645
0.7,35,1.757461
1.32,35,1.788862
0.6,35,1.815405
1.55,35,1.842101
0.5,35,1.868967
0.86,35,1.896515
0.58,35,1.925262
1.79,35,1.960521
2.61,35,1.987236
1.68,35,2.021039
0.79,35,2.051262
-0.04,35,2.078351
2.17,35,2.106067
2.62,35,2.133527
-0.04,35,2.161558
2.14,35,2.202342
0.59,35,3.659906
2.6,35,3.687572
2.11,35,3.715882
1.52,35,3.743624
2.09,35,3.776548
2.66,35,3.806026
0.36,35,3.83519
1.32,35,3.870847
2.12,35,3.898157
1.86,35,3.926607
2.7,35,3.955251
1.52,35,3.989578
0.64,35,4.017587
1.25,35,4.046232
0.43,35,4.076965
2.47,35,4.10696
0.91,35,4.134773
2.39,35,4.161683
2.45,35,4.188483
0.68,35,4.21535
0.55,35,4.241933
1.95,35,4.268943
2.57,35,4.307618
0.21,35,4.33487
2.97,35,4.368959
2.35,35,4.396963
0.34,35,4.424196
2.69,35,4.485633
1.1,35,4.517852
1.96,35,4.546177
2.21,35,4.574353
1.31,35,4.602551
1.65,35,4.630568
2.47,35,4.658085
0.93,35,4.687888
2.26,35,4.716999
1.31,35,4.748317
1.23,35,4.775826
0.4,35,4.803171
3.34,35,4.837936
2.88,35,4.8739
1.29,35,4.908006
1.01,35,4.943523
1.88,35,4.986421
0.41,35,5.017656
1.41,35,5.045636
1.14,35,5.073148
1.07,35,5.09995
1.23,35,5.129745
2.03,35,5.216519
1.85,35,5.309903
1.94,35,5.355487
1.02,35,5.406033
3.24,35,5.456935
1.68,35,5.509469
0.49,35,5.549266
0.14,35,5.631612
2.07,35,5.680002
1.78,35,5.71914
2.0,35,8.325808
1.81,35,8.370415
1.93,35,8.414604
2.74,35,8.458341
-0.28,35,8.512804
2.71,35,8.61129
1.5,35,8.669101
2.76,35,8.722116
2.53,35,8.760997
2.61,35,8.79802
2.55,35,8.845137
2.55,35,8.935215
2.64,35,8.994253
2.49,35,9.051842
2.76,35,9.093814
3.03,35,9.151613
0.84,35,9.204095
2.54,35,9.24324
2.28,35,9.305543
2.35,35,9.365071
1.48,35,9.441014
2.28,35,9.519426
2.35,35,9.559219
2.47,35,9.599635
1.67,35,9.640384
1.5,35,9.717268
0.8,35,9.759482
1.2,35,9.798667
2.42,35,9.851954
2.45,35,9.8916
1.95,35,9.933525
2.36,35,9.977523
1.84,35,10.017462
0.67,35,10.058781
2.65,35,10.105062
2.96,35,10.222818
1.84,35,10.273797
0.63,35,10.312828
1.45,35,10.413921
2.31,35,10.478812
2.03,35,10.529598
1.88,35,10.606535
2.18,35,10.655815
1.01,35,10.710644
1.78,35,10.78308
1.17,35,10.896773
1.77,35,10.949479
0.61,35,11.057165
2.38,35,11.113237
2.21,35,11.188881
2.89,35,11.231304
1.55,35,11.272552
2.39,35,11.313892
1.8,35,11.383142
0.84,35,11.469654
2.07,35,11.510604
2.89,35,11.739142
1.88,35,11.836954
2.45,35,14.483248
2.66,35,14.543521
2.6,35,14.588064
2.66,35,14.632376
2.07,35,14.673161
3.25,35,14.722744
1.57,35,14.762752
2.16,35,14.804152
1.98,35,14.878845
2.17,35,15.00014
2.6,35,15.059
2.7,35,15.154478
2.12,35,15.201159
2.13,35,15.347148
2.13,35,15.438881
1.94,35,15.522123
1.66,35,15.596572
2.88,35,15.665931
2.73,35,15.729337
3.26,35,15.822891
1.2,35,15.867765
2.79,35,15.94512
2.67,35,15.983763
3.15,35,16.050401
2.27,35,16.103686
2.23,35,16.187138
2.34,35,16.282768
1.86,35,16.421306
2.57,35,16.463171
2.71,35,16.518218
1.21,35,16.585014
2.84,35,16.758112
1.96,35,16.840121
3.14,35,16.982324
2.19,35,17.039613
3.19,35,17.085613
2.97,35,17.140398
3.24,35,17.212826
2.24,35,17.25807
3.36,35,17.310335
2.33,35,17.358145
2.23,35,17.43537
3.0,35,17.475392
2.68,35,17.522689
3.14,35,17.562415
2.16,35,17.627639
2.0,35,17.720129
3.2,35,17.792391
2.32,35,17.830562
2.19,35,17.939256
2.02,35,18.041831
3.32,35,18.079628
1.95,35,18.137891
2.32,35,18.214163
2.27,35,18.25362
2.45,35,18.307313
2.68,35,18.364164
2.87,35,18.450287
2.01,35,18.554059
2.94,35,21.315611
2.64,35,21.359067
3.25,35,21.398916
3.39,35,21.438348
3.17,35,21.52632
3.15,35,21.585453
1.92,35,21.629616
2.24,35,21.714933
2.67,35,21.820391
3.48,35,21.872345
2.57,35,21.950478
1.61,35,21.997655
2.41,35,22.094104
2.84,35,22.168086
2.42,35,22.206767
2.53,35,22.245686
2.29,35,22.320177
2.24,35,22.399787
2.54,35,22.439774
2.3,35,22.482411
2.56,35,22.534654
1.52,35,22.588573
2.71,35,22.631967
1.22,35,22.730072
2.28,35,22.807389
2.77,35,22.864794
1.94,35,22.917006
3.31,35,23.029169
2.83,35,23.1013
2.38,35,23.201128
2.76,35,23.272941
2.99,35,23.349802
2.45,35,23.437415
2.07,35,23.493228
3.19,35,23.537937
1.92,35,23.581149
2.26,35,23.645443
2.0,35,23.704997
2.78,35,23.748068
1.61,35,23.810075
2.93,35,23.849473
1.52,35,23.888093
2.24,35,23.941228
2.74,35,24.047379
1.79,35,24.094083
2.39,35,24.166307
2.64,35,24.234381
2.52,35,24.295413
2.62,35,24.343958
2.57,35,24.424814
1.33,35,24.470911
2.27,35,24.578112
3.46,35,24.611822
3.29,35,24.646109
2.82,35,24.673957
3.22,35,24.701256
2.94,35,24.728566
3.15,35,24.756071
3.04,35,25.910564
2.33,35,25.940002
2.62,35,25.967756
2.28,35,25.995308
3.1,35,26.025243
3.51,35,26.055678
2.91,35,26.08277
2.93,35,26.109516
2.12,35,26.141941
2.93,35,26.169912
2.43,35,26.197813
2.87,35,26.225883
3.17,35,26.259074
3.15,35,26.293455
3.01,35,26.323994
2.06,35,26.361906
2.3,35,26.38953
2.84,35,26.418743
2.88,35,26.445889
3.06,35,26.474663
3.25,35,26.50181
2.64,35,26.530884
1.61,35,26.5881
3.35,35,26.616127
3.52,35,26.64464
1.85,35,26.671609
2.95,35,26.698976
2.3,35,26.726182
2.06,35,26.752877
2.78,35,26.780389
2.28,35,26.811654
3.03,35,26.838872
2.97,35,26.865794
3.53,35,26.892679
3.59,35,26.921078
1.45,35,26.948275
2.32,35,26.975526
2.55,35,27.0064
3.37,35,27.037882
2.7,35,27.066772
3.01,35,27.097158
2.94,35,27.124551
2.71,35,27.151437
2.69,35,27.178212
2.75,35,27.205233
3.61,35,27.232872
2.38,35,27.264954
2.71,35,27.301655
2.73,35,27.332658
1.68,35,27.363761
3.26,35,27.410773
2.2,35,27.439373
2.18,35,27.468423
2.46,35,27.498393
3.17,35,27.525512
2.22,35,27.552567
2.68,35,27.579659
1.97,35,27.606535
2.47,35,27.634454
2.39,35,28.801207
2.55,35,28.828463
2.77,35,28.855818
2.59,35,28.885679
3.31,35,28.913448
2.68,35,28.943113
2.66,35,28.970753
2.75,35,28.997884
3.43,35,29.03031
2.57,35,29.057779
3.02,35,29.085532
2.49,35,29.112232
3.25,35,29.139242
2.65,35,29.166764
2.06,35,29.19385
3.23,35,29.220822
3.57,35,29.256438
3.42,35,29.283449
3.32,35,29.310664
3.36,35,29.34841
2.89,35,29.398916
2.8,35,29.427695
2.67,35,29.455357
3.16,35,29.487245
3.49,35,29.514342
1.73,35,29.540682
3.49,35,29.569823
3.1,35,29.597388
2.86,35,29.62479
3.04,35,29.653371
3.02,35,29.681101
2.55,35,29.712285
2.46,35,29.739479
3.07,35,29.766709
3.2,35,29.794472
3.21,35,29.82161
3.26,35,29.848901
