r,l,t
0.21,20,0.037646
0.26,32,0.081548
0.23,20,0.10673
0.24,20,0.131439
0.25,24,0.161813
0.26,24,0.189547
0.26,18,0.213526
0.25,32,0.25631
0.25,20,0.283238
0.3,22,0.314056
0.3,24,0.34436
0.25,24,0.371804
0.3,30,0.415723
0.23,18,0.445917
0.3,20,0.471465
0.24,26,0.503312
0.25,18,0.527013
0.25,18,0.54794
0.25,28,0.589096
0.24,28,0.627156
0.25,16,0.647482
0.25,28,0.680949
0.25,22,0.711249
0.25,22,0.7382
0.23,16,0.75905
0.26,32,0.803461
0.24,30,0.848928
0.29,28,0.885602
0.21,30,0.92966
0.29,18,0.954589
0.28,14,0.973293
0.26,18,0.994835
0.34,20,1.024583
0.3,14,1.0428
0.26,18,1.066572
0.26,32,1.106044
0.28,24,1.136094
0.25,20,1.167316
0.23,14,1.185818
0.35,18,1.206718
0.34,14,1.225435
0.28,18,1.24929
0.32,30,1.301382
0.2,32,1.349896
0.3,20,1.392319
0.26,32,1.434497
0.23,20,1.462673
0.28,20,1.487513
0.26,16,1.507033
0.34,22,1.532944
0.25,28,1.575597
0.29,26,1.614516
0.19,32,1.655164
0.16,32,1.698583
0.29,24,1.729625
0.25,16,1.754129
0.21,32,1.794418
0.31,16,1.813974
0.26,30,1.852054
0.26,16,1.881368
0.26,24,1.908897
0.3,24,1.939989
0.23,32,1.984527
0.29,14,2.000615
0.24,28,2.03744
0.31,32,2.077337
0.2,32,2.120472
0.26,16,2.140054
0.16,32,2.179492
0.25,26,2.219532
0.28,20,2.244909
0.26,24,2.272755
0.13,32,2.315491
0.24,32,2.36011
0.16,32,2.402937
0.34,20,2.429725
0.25,28,2.463299
0.29,20,2.488308
0.26,24,2.524909
0.21,19,2.549238
0.26,22,2.576084
0.28,14,2.594563
0.24,18,2.621233
0.25,22,2.652767
0.25,20,2.67745
0.16,32,2.868475
0.26,26,2.90669
0.25,16,2.927263
0.29,30,2.972618
0.24,20,2.999222
0.28,32,3.042114
0.26,14,3.065898
0.26,26,3.101843
0.3,20,3.128335
0.26,20,3.155025
0.23,18,3.180104
0.23,20,3.206463
0.25,14,3.226673
0.3,20,3.254251
0.29,26,3.287549
0.25,20,3.314134
0.26,24,3.346554
2.79,14,3.36254
0.25,22,3.395004
0.26,16,3.416697
0.23,32,3.458212
0.24,14,3.477492
0.25,14,3.496979
0.3,18,3.52151
0.25,30,3.564004
0.25,16,3.584748
0.2,32,3.628294
0.26,16,3.657509
0.25,30,3.70183
0.25,20,3.728103
0.25,20,3.754185
0.25,16,3.778426
0.26,26,3.811844
0.25,20,3.839435
0.25,20,3.867329
0.3,18,3.888957
0.24,26,3.927621
0.26,16,3.947816
0.2,32,3.988812
0.2,32,4.033111
0.25,32,4.073601
0.1,32,4.1128
0.26,16,4.135144
0.25,28,4.172174
0.33,18,4.201675
0.25,18,4.248142
0.3,17,4.271671
0.25,20,4.296512
0.25,26,4.328551
0.25,16,4.348154
0.25,18,4.372151
0.26,24,4.402412
0.26,32,4.44576
0.3,18,4.469943
0.24,22,4.496585
0.28,18,4.520128
0.24,16,4.539868
0.3,16,4.559999
0.25,18,4.583971
0.3,18,4.604931
0.3,16,4.624439
2.83,22,4.657455
0.31,14,4.683644
0.25,22,4.710517
0.29,26,4.745986
0.26,14,4.76806
0.25,15,4.786968
0.31,16,4.809816
0.3,18,4.834233
0.31,20,4.860381
0.24,16,4.881438
0.3,16,4.900873
0.23,22,4.930305
0.3,22,4.956163
0.25,16,4.975332
0.26,24,5.005507
0.29,26,5.040245
0.25,24,5.071068
0.31,22,5.097493
0.3,26,5.133205
0.3,22,5.159274
0.23,20,5.184178
0.3,18,5.20799
0.26,24,5.236867
0.3,18,5.261112
0.28,16,5.280798
0.28,18,5.309593
0.3,16,5.329719
0.23,14,5.348207
0.31,32,5.395325
0.35,16,5.417568
0.35,18,5.44149
0.26,18,5.465448
0.31,16,5.485153
0.24,16,5.504499
0.3,18,5.528418
0.3,20,5.570414
0.31,20,5.597036
0.31,18,5.620223
0.2,26,5.655201
0.31,20,5.681015
0.28,24,5.718442
0.29,16,5.73768
0.3,18,5.764348
0.28,20,5.804054
0.28,32,5.849206
0.24,14,5.867887
0.25,14,5.887761
0.3,16,5.907483
0.26,16,5.926674
0.26,14,5.94499
0.25,20,5.979254
0.31,16,5.999502
0.29,14,6.018811
0.26,28,6.058726
0.3,26,6.094532
0.25,30,6.13107
0.24,28,6.166219
0.26,18,6.186883
0.31,20,6.211915
0.29,24,6.241991
0.31,28,6.280833
0.25,32,6.320259
0.26,20,6.344975
0.21,26,6.376128
0.16,32,6.420575
2.83,26,6.45234
0.28,32,6.492218
0.28,22,6.523886
0.35,20,6.550678
0.21,32,6.594182
0.14,32,6.63283
0.25,30,6.671919
0.31,14,6.692066
0.25,22,6.728688
0.26,16,6.748112
0.29,16,6.767479
0.26,26,6.801833
0.25,24,6.831822
0.26,24,6.862044
2.83,12,6.883956
0.25,26,6.937798
0.33,16,6.960537
0.24,26,6.992363
0.31,28,7.029618
0.29,20,7.054657
0.28,16,7.077861
0.25,14,7.093658
0.35,16,7.116485
0.25,22,7.146598
0.3,16,7.166288
0.25,14,7.185471
0.28,16,7.205423
