#{"t_start": 1663435061.4628139, "env_id": "SizeThreeSimpleGridRoadEnv-v0"}
r,l,t
0.2,18,0.032702
0.2,16,0.055616
0.2,28,0.091656
0.22,22,0.118003
0.28,18,0.14538
0.17,16,0.165475
0.2,32,0.205876
0.21,16,0.229027
0.22,24,0.257495
0.32,18,0.282107
0.31,16,0.301907
0.29,14,0.322896
0.27,14,0.341948
0.26,30,0.384237
0.27,16,0.404983
0.22,16,0.429204
0.26,18,0.453211
0.26,18,0.475688
0.28,14,0.494134
0.23,18,0.518818
0.25,20,0.544745
0.19,14,0.57211
0.19,18,0.597278
0.28,24,0.627989
0.2,18,0.652011
0.32,28,0.687263
0.3,16,0.70835
0.28,20,0.733495
0.17,16,0.756071
0.26,20,0.780874
0.26,14,0.796073
0.35,16,0.818274
0.26,22,0.848558
0.25,18,0.872143
0.27,24,0.899811
0.28,26,0.933813
0.22,32,0.977109
0.28,14,0.995558
0.28,20,1.020387
0.28,14,1.038605
0.19,22,1.064326
0.17,18,1.087603
0.27,32,1.126153
0.33,16,1.145419
0.21,22,1.173918
0.28,18,1.200228
0.22,20,1.226665
0.21,32,1.274892
0.33,18,1.295738
0.2,16,1.315074
0.33,32,1.380099
0.21,16,1.399693
0.26,18,1.423383
0.25,16,1.447645
0.26,18,1.468098
0.26,26,1.507143
0.2,14,1.522314
0.27,16,1.544788
0.22,20,1.570617
0.3,22,1.603659
0.35,20,1.628497
0.27,20,1.652692
0.22,30,1.689226
0.25,24,1.721085
0.18,32,1.761858
0.2,22,1.792148
0.21,32,1.833678
0.27,18,1.857903
0.2,22,1.884781
0.22,16,1.904431
0.21,26,1.935487
0.22,26,1.975256
0.24,26,2.006796
0.25,16,2.025849
0.22,18,2.049162
0.24,14,2.065023
0.19,22,2.093852
0.19,26,2.124448
0.26,16,2.148181
0.25,20,2.175536
0.15,20,2.200991
0.2,22,2.232248
0.25,18,2.253409
0.25,22,2.28521
0.33,18,2.305469
0.26,16,2.325047
0.26,22,2.356041
0.17,32,2.395219
0.35,14,2.416648
0.22,22,2.442628
0.29,24,2.473409
0.22,24,2.503203
0.26,18,2.526748
0.21,28,2.560032
0.21,20,2.584624
0.28,16,2.612236
0.21,30,2.649198
0.36,18,2.680308
0.27,14,2.698003
0.27,20,2.722286
0.31,20,2.746871
0.25,20,2.774812
0.18,32,2.814708
0.32,18,2.838393
0.25,16,2.863391
0.3,14,2.881884
0.23,16,2.901232
0.24,24,2.931087
0.18,26,2.962251
0.23,14,2.982332
0.28,14,3.003224
0.33,30,3.040868
0.35,24,3.068266
0.27,22,3.097014
0.29,14,3.114726
0.25,30,3.15296
0.27,18,3.174136
0.29,20,3.199958
0.26,18,3.224287
0.3,26,3.256687
0.25,32,3.298831
0.21,18,3.322285
0.26,20,3.348018
0.28,22,3.377335
0.2,22,3.410613
0.23,22,3.439214
0.26,22,3.4688
0.24,20,3.493419
0.32,30,3.533146
0.36,18,3.553958
0.17,32,3.598088
0.29,16,3.619937
0.35,32,3.664257
0.29,32,3.707892
0.23,28,3.740695
0.31,18,3.765853
0.23,26,3.79773
0.28,20,3.826354
0.27,20,3.851564
0.2,28,3.887008
0.27,22,3.912782
0.22,26,3.94375
0.31,16,3.980666
0.36,20,4.00526
0.24,18,4.031712
0.32,24,4.061456
2.79,12,4.075364
0.22,32,4.118713
0.28,32,4.158448
0.23,30,4.199348
0.23,20,4.224002
0.25,30,4.261074
0.22,32,4.305466
0.23,18,4.332085
0.26,23,4.366148
0.35,20,4.393528
0.24,14,4.409406
0.29,18,4.433409
0.25,14,4.452061
0.27,32,4.491754
0.31,18,4.515464
0.23,26,4.547269
0.25,24,4.578202
0.26,26,4.615991
0.24,14,4.635294
0.25,16,4.661366
0.21,18,4.685107
0.26,32,4.728687
0.25,28,4.765521
0.25,32,4.804493
0.24,16,4.824018
0.18,32,4.867135
0.25,25,4.898859
0.13,32,4.945829
0.32,22,4.972369
0.25,19,4.997512
0.31,18,5.021494
0.23,32,5.060983
0.26,26,5.093501
0.26,32,5.135752
0.21,32,5.18185
0.22,32,5.228169
0.21,32,5.267339
0.32,32,5.326134
0.25,28,5.36491
0.32,26,5.400988
0.17,32,5.442952
0.17,32,5.481518
0.22,32,5.520705
0.23,32,5.562642
0.32,32,5.603534
0.25,32,5.651544
0.23,32,5.698083
0.18,32,5.737398
0.22,24,5.767326
0.19,24,5.797824
0.19,20,5.822852
0.36,14,5.840732
0.25,32,5.885078
0.26,32,5.926747
0.4,24,5.953668
0.23,32,6.000083
0.25,20,6.025882
0.3,32,6.066174
0.32,22,6.101847
0.21,18,6.122605
0.33,22,6.151098
0.19,32,6.190333
0.26,32,6.229997
0.31,18,6.257365
2.83,14,6.276547
2.79,16,6.296537
0.32,22,6.322646
2.79,26,6.358335
0.36,18,6.380615
0.15,26,6.418327
0.14,32,6.461517
0.3,30,6.497865
0.27,16,6.516894
0.27,26,6.547658
0.3,32,6.590891
0.36,32,6.645845
0.2,22,6.681302
0.24,22,6.714417
0.28,16,6.734429
0.24,32,6.77355
0.33,32,6.814987
0.32,18,6.835244
0.27,32,6.877328
0.21,14,6.896392
0.33,32,6.934994
2.83,18,6.95829
0.21,30,7.001803
0.14,32,7.04312
0.18,32,7.083053
2.83,18,7.10748
0.3,30,7.144015
0.2,28,7.179794
0.18,32,7.218675
0.17,32,7.265656
0.22,32,7.312855
0.27,22,7.339606
0.28,18,7.364148
0.2,14,7.382306
