#{"t_start": 1663430477.823229, "env_id": "SizeThreeSimpleGridRoadEnv-v0"}
r,l,t
0.3,22,0.024071
0.3,14,0.034085
0.21,30,0.053929
0.26,18,0.066222
0.35,18,0.078066
0.35,22,0.097856
0.22,20,0.114254
0.29,24,0.131088
0.34,18,0.144904
0.3,16,0.157164
0.2,22,0.171448
0.2,32,0.193105
0.28,20,0.206169
0.24,20,0.220509
0.3,30,0.245921
0.25,22,0.262139
0.2,24,0.279262
0.24,16,0.29358
0.38,26,0.314602
0.21,22,0.332802
0.28,18,0.347648
0.29,14,0.359949
0.28,22,0.378185
0.3,16,0.39183
0.2,26,0.420843
0.21,22,0.435594
0.25,20,0.448922
0.33,22,0.463657
0.21,20,0.477696
0.2,24,0.496095
0.26,28,0.518786
0.3,18,0.533956
0.36,16,0.547263
0.25,20,0.563085
0.38,26,0.581808
0.33,18,0.597028
0.3,20,0.61306
0.33,22,0.627719
0.28,14,0.637222
0.25,24,0.653601
0.28,22,0.668477
0.31,16,0.67912
0.29,18,0.690903
0.23,22,0.709269
0.21,16,0.720278
0.28,22,0.734662
0.3,18,0.746426
0.3,24,0.779365
0.28,18,0.79272
0.2,18,0.804939
0.25,24,0.825573
0.34,16,0.836597
0.28,18,0.848751
0.28,30,0.869151
0.27,16,0.880067
0.3,14,0.890113
0.25,14,0.899793
0.25,22,0.914178
0.33,16,0.924942
0.3,28,0.943115
0.4,20,0.956292
0.21,20,0.980274
0.25,16,0.991957
0.21,18,1.00409
0.25,26,1.021404
0.36,22,1.040588
0.25,28,1.058739
0.29,20,1.072005
0.27,22,1.086485
0.25,16,1.097193
0.26,16,1.109191
0.24,14,1.12287
0.26,14,1.134871
0.25,14,1.147099
0.26,22,1.161627
0.26,20,1.174836
0.16,32,1.19678
0.24,26,1.21359
0.29,32,1.238783
0.4,20,1.251808
0.25,19,1.264812
0.35,28,1.282844
0.24,16,1.293561
0.3,14,1.30309
0.25,28,1.321456
0.25,26,1.338531
0.23,16,1.349294
0.29,16,1.359955
0.24,24,1.375943
0.21,20,1.389607
0.25,18,1.408483
0.21,24,1.427087
0.25,16,1.439247
0.29,28,1.457886
0.21,28,1.475819
0.34,14,1.485152
0.23,16,1.50341
0.3,18,1.515203
0.25,20,1.530117
0.25,26,2.500864
0.31,18,2.516218
0.24,26,2.535594
0.33,14,2.545251
0.24,18,2.55733
0.31,20,2.571027
0.33,20,2.584053
0.22,18,2.59612
0.23,26,2.613434
0.27,14,2.622981
0.3,26,2.639661
0.25,18,2.651337
0.19,24,2.666834
0.25,18,2.678668
0.21,18,2.690449
0.23,22,2.704528
0.24,22,2.71892
0.24,22,2.733183
0.21,14,2.742528
0.36,14,2.751829
0.38,16,2.762324
0.25,24,2.778188
0.21,24,2.793727
0.28,24,2.809125
0.22,32,2.830957
0.26,16,2.841503
0.28,18,2.854199
0.33,20,2.8685
0.28,20,2.881489
0.26,14,2.89086
0.24,20,2.904458
0.32,14,2.913825
0.3,18,2.926927
0.26,28,2.945831
0.3,32,2.967675
0.21,22,2.982481
0.25,16,2.993917
0.26,16,3.004665
0.3,20,3.017892
0.21,22,3.036819
0.28,16,3.047616
0.28,20,3.060917
0.26,14,3.074597
0.25,18,3.088038
0.4,30,3.112883
0.31,22,3.127617
0.35,16,3.138443
0.23,20,3.163085
0.21,14,3.175338
0.23,22,3.190696
0.21,18,3.202777
0.26,32,3.227263
0.3,20,3.240657
0.27,14,3.251647
0.26,24,3.269187
0.29,14,3.278686
0.25,14,3.288031
0.33,20,3.301087
0.25,18,3.312937
0.24,14,3.322253
0.4,18,3.334184
0.23,18,3.346491
0.3,18,3.362107
0.25,28,3.380757
0.25,16,3.391376
0.28,32,3.41371
0.3,14,3.4231
0.25,24,3.438761
0.3,28,3.456811
0.25,14,3.466158
0.35,16,3.476682
0.25,26,3.493522
0.33,22,3.507808
0.23,22,3.522074
0.33,16,3.53278
0.34,14,3.542188
0.28,22,3.557584
0.26,22,3.573324
0.26,18,3.585105
0.28,20,3.598246
0.3,16,3.608905
0.25,18,3.625355
0.25,18,3.637683
0.25,22,3.651903
0.3,24,3.667517
0.3,18,3.680471
0.29,20,3.694223
0.29,22,3.708662
0.24,18,3.720824
0.26,28,3.741589
0.3,14,3.750891
0.26,20,3.763984
0.24,20,3.777
0.25,28,3.794886
0.28,24,3.810181
0.26,22,3.824266
0.23,16,3.834855
0.24,24,3.85919
0.2,14,3.870128
0.34,16,3.880898
0.29,14,3.890518
0.25,16,3.90125
0.35,22,5.036044
0.36,16,5.052996
0.24,20,5.073677
0.35,14,5.090483
0.34,14,5.108217
0.3,18,5.127553
0.35,14,5.142645
0.35,14,5.159186
0.25,18,5.178182
0.3,28,5.240545
0.3,18,5.258628
0.27,16,5.274294
0.3,14,5.288157
0.33,32,5.334375
0.29,24,5.359857
0.25,22,5.38165
0.28,20,5.402121
0.33,24,5.446603
0.25,18,5.470612
0.28,14,5.486129
0.24,20,5.507288
0.26,16,5.524751
0.27,14,5.545132
0.25,20,5.567547
0.28,28,5.597038
0.21,26,5.624732
0.23,32,5.67945
0.29,20,5.718436
0.4,28,5.744741
0.2,32,5.766237
0.25,20,5.779433
0.31,14,5.790593
0.33,18,5.803999
0.28,22,5.818993
0.4,20,5.833956
0.31,18,5.845864
0.2,32,5.868438
0.33,24,5.888262
0.38,18,5.900094
0.33,18,5.912482
0.3,16,5.923046
0.24,22,5.937711
0.26,16,5.948187
0.21,22,5.962446
0.27,20,5.97538
0.35,16,6.005157
0.28,14,6.01442
0.28,30,6.033269
0.25,28,6.051313
0.3,24,6.066721
0.4,26,6.083649
0.21,24,6.098982
0.3,22,6.113061
0.28,26,6.129862
0.21,18,6.141552
0.25,14,6.150838
0.4,22,6.164947
0.29,18,6.176795
0.27,16,6.191525
0.3,14,6.200858
0.33,14,6.210591
0.35,14,6.22513
0.25,22,6.246824
0.3,20,6.259829
0.27,18,6.271558
0.35,20,6.284514
0.25,18,6.296636
0.23,26,6.313121
0.23,28,6.330866
0.3,14,6.340201
0.29,32,6.361652
0.31,18,6.373747
0.31,16,6.384573
0.21,20,6.39758
0.25,26,6.414142
0.35,20,6.427387
0.3,20,6.44047
0.38,26,6.457148
0.3,24,6.47287
0.25,18,6.484644
0.23,22,6.499213
0.36,28,6.517037
0.29,16,6.52799
0.3,20,6.543031
0.31,14,6.552271
0.33,16,6.564601
0.24,22,6.581558
0.3,16,6.592056
0.29,18,6.603769
0.31,16,6.614701
0.25,22,6.630091
0.25,26,6.646807
0.34,14,6.656389
0.35,28,6.674073
0.25,16,6.705257
0.3,32,6.727387
0.26,18,6.740234
0.35,18,6.752831
0.35,20,6.76643
0.26,18,6.778678
0.27,18,6.790768
0.35,32,7.809513
0.26,20,7.822883
0.34,18,7.835082
0.3,14,7.844606
0.35,14,7.854101
0.35,32,7.876256
0.35,20,7.893242
0.2,16,7.904437
0.35,24,7.920136
0.25,16,7.930692
0.35,20,7.943728
0.28,16,7.954876
0.36,18,7.966723
0.29,26,7.984101
0.24,20,7.997489
0.29,14,8.006808
0.28,18,8.023195
0.26,32,8.044974
0.27,16,8.056162
0.36,14,8.066011
0.29,16,8.077419
0.25,18,8.089396
0.16,32,8.110661
0.24,18,8.122592
0.25,20,8.135749
0.3,26,8.152828
0.21,18,8.165111
0.3,24,8.182324
0.31,14,8.192248
0.29,16,8.202817
0.29,14,8.212436
0.29,20,8.228848
0.24,26,8.247507
0.3,18,8.263018
0.3,14,8.276717
0.29,20,8.291495
0.25,30,8.310762
0.27,16,8.321442
0.23,16,8.332152
0.28,26,8.348893
0.26,18,8.360892
0.33,24,8.376635
0.36,16,8.387259
0.25,18,8.418222
0.33,16,8.429049
0.35,20,8.442227
0.25,22,8.456668
0.32,16,8.468605
0.34,16,8.481476
0.34,18,8.493738
0.33,24,8.509453
0.28,18,8.521565
0.35,18,8.533689
0.25,16,8.544786
0.28,20,8.559777
0.29,32,8.585232
0.25,20,8.601651
0.35,14,8.611443
0.23,22,8.62695
0.3,14,8.636466
0.3,14,8.645842
0.2,32,8.667418
0.35,16,8.678045
0.28,18,8.689936
0.25,14,8.699255
0.25,24,8.714749
0.26,22,8.729305
0.36,20,8.742394
0.29,20,8.755538
0.35,14,8.765063
0.4,22,8.779308
0.25,22,8.798277
0.29,28,8.816443
0.33,18,8.828496
0.35,16,8.8392
0.32,16,8.849824
0.33,20,8.863232
0.3,24,8.882966
0.3,14,8.898088
0.25,14,8.909575
0.35,16,8.920423
0.25,30,8.94011
0.3,22,8.954309
0.28,22,8.969248
0.25,16,8.98008
0.3,16,8.991772
0.36,14,9.001807
0.27,18,9.013888
0.33,24,9.029543
0.27,18,9.041586
0.35,14,9.05102
0.35,20,9.064386
0.27,22,9.078912
0.24,14,9.088896
0.27,20,9.102656
0.26,26,9.138486
0.25,16,9.14902
0.29,18,9.160829
0.3,16,9.171384
0.27,14,9.180808
0.3,24,9.197532
0.36,14,9.206868
0.25,32,9.23033
0.35,18,9.242025
0.25,20,10.241526
0.3,24,10.260598
0.3,18,10.273568
0.3,16,10.285705
0.35,14,10.298082
0.25,16,10.316133
0.24,18,10.333523
0.29,18,10.349864
0.36,20,10.365274
0.35,26,10.383202
0.33,16,10.394184
0.25,14,10.403848
0.35,14,10.416267
0.3,14,10.426778
0.3,18,10.438838
0.35,14,10.448265
0.25,20,10.461471
0.35,18,10.47352
0.36,16,10.4842
0.3,18,10.496113
0.35,16,10.506785
0.3,14,10.516239
0.21,14,10.525632
0.31,18,10.537905
0.25,14,10.547256
0.29,18,10.559113
0.4,30,10.578588
0.3,30,10.598601
0.28,22,10.613588
0.25,26,10.632167
0.25,20,10.645325
0.31,14,10.656516
0.31,16,10.667671
0.27,20,10.680733
0.35,14,10.690243
0.33,16,10.700709
0.25,16,10.711194
0.4,24,10.727423
0.38,26,10.744214
0.29,18,10.756027
0.3,18,10.767768
0.3,20,10.780854
0.33,20,10.794971
0.29,16,10.805586
0.35,20,10.837626
0.33,26,10.854153
0.36,14,10.86344
0.36,14,10.87264
0.36,16,10.883039
0.35,32,10.910067
0.25,16,10.92059
0.31,24,10.936038
0.28,24,10.951314
0.27,22,10.966015
0.4,24,10.981461
0.25,14,10.991563
0.36,16,11.002228
0.33,20,11.015455
0.21,16,11.029562
0.23,14,11.038858
0.3,24,11.054284
0.27,16,11.06487
0.3,14,11.074119
0.33,18,11.085896
0.38,14,11.095261
0.27,26,11.111911
0.3,18,11.123672
0.33,26,11.140213
0.3,24,11.1558
0.29,22,11.169939
0.33,20,11.184072
0.33,14,11.193442
0.35,16,11.204231
0.3,28,11.222519
0.27,14,11.236622
0.33,20,11.251823
0.32,14,11.261286
0.35,16,11.272235
0.33,14,11.283372
0.3,20,11.296893
0.3,14,11.306454
0.35,14,11.316836
0.27,24,11.335392
0.35,16,11.350641
0.31,22,11.365031
0.25,16,11.375607
0.27,14,11.384963
0.33,16,11.39552
0.35,26,11.412288
0.3,16,11.422983
0.33,18,11.434813
0.36,14,11.444099
0.3,14,11.453328
0.31,26,11.470219
0.3,16,11.480809
0.36,16,11.491246
0.38,24,11.506862
0.34,16,11.517464
0.33,16,11.547942
0.27,32,11.570154
0.31,16,11.580842
0.3,22,11.595095
0.3,14,11.604422
0.35,18,11.616276
0.36,14,11.625592
0.25,20,11.639959
0.3,32,11.661281
0.35,16,11.672008
0.35,24,11.687574
0.33,16,11.698108
0.25,18,12.670098
0.31,28,12.688189
0.31,14,12.698082
0.3,20,12.711533
0.34,20,12.725176
0.4,28,12.743394
0.33,26,12.76019
0.35,26,12.776834
0.29,14,12.786109
0.25,24,12.801515
0.28,16,12.812071
0.3,28,12.830981
2.79,14,12.840445
0.35,24,12.856408
0.29,14,12.866054
0.34,18,12.877852
0.33,20,12.891239
0.28,16,12.901992
0.34,16,12.913111
0.33,24,12.929221
0.27,18,12.941193
0.4,20,12.954093
0.3,18,12.965871
0.25,20,12.978763
0.36,14,12.989005
0.33,16,12.999685
0.29,20,13.015751
0.3,18,13.027541
0.3,18,13.039312
0.4,16,13.05124
0.34,16,13.061992
0.33,28,13.079695
0.27,22,13.093692
0.23,20,13.107134
0.36,16,13.117584
0.24,22,13.131691
0.27,14,13.141094
0.28,22,13.155201
0.34,16,13.184056
