#{"t_start": 1663434905.426515, "env_id": "SizeThreeSimpleGridRoadEnv-v0"}
r,l,t
0.19,32,0.146356
0.27,24,0.214407
0.26,18,0.268003
0.18,18,0.320436
0.22,24,0.426739
0.25,16,0.500613
0.19,28,0.590315
0.3,20,0.67722
0.26,16,0.712424
0.35,28,0.760388
0.15,20,0.811013
0.25,20,0.876972
0.18,18,0.901238
0.22,26,0.917733
0.23,20,0.93357
0.26,20,0.946671
0.2,16,0.957178
0.3,14,0.96648
0.22,24,0.981776
0.17,20,0.99499
0.32,20,1.008144
0.17,20,1.020999
0.3,16,1.031475
0.35,18,1.044183
0.25,26,1.061949
0.33,32,1.084643
0.27,20,1.097853
0.21,20,1.110901
0.26,22,1.125116
0.3,16,1.135656
0.22,24,1.151484
0.26,16,1.162027
0.29,22,1.176209
0.26,20,1.189043
0.3,16,1.199507
0.26,24,1.214865
0.23,26,1.233181
0.25,18,1.245419
0.27,16,1.256773
0.2,18,1.268996
0.21,16,1.279843
0.33,24,1.301374
0.25,14,1.31088
0.22,14,1.320379
0.38,18,1.335408
0.27,16,1.346253
0.25,30,1.365934
0.25,14,1.375858
0.35,16,1.387677
0.33,16,1.422549
0.23,20,1.436774
0.2,18,1.449536
0.29,20,1.463411
0.26,14,1.475391
0.21,16,1.485942
0.27,16,1.496643
0.28,20,1.509941
0.28,14,1.519391
0.18,14,1.530384
0.2,16,1.541133
0.23,14,1.550503
0.23,14,1.559958
0.38,22,1.575855
0.17,18,1.587733
0.23,16,1.598667
0.29,14,1.61129
0.14,14,1.622733
0.33,24,1.638958
0.33,14,1.648335
0.23,18,1.660321
0.27,22,1.67472
0.23,16,1.685322
0.18,30,1.704442
0.3,16,1.715209
0.2,14,1.724699
0.25,16,1.735569
0.27,14,1.744895
0.27,18,1.756797
0.22,24,1.772371
0.23,18,1.784109
0.25,16,1.794803
0.4,20,1.807721
0.23,24,1.82338
0.2,24,1.838929
0.24,16,1.852033
0.33,26,1.868968
0.22,18,1.880776
0.2,18,1.892813
0.22,26,1.909571
0.22,22,1.92393
0.35,28,1.942426
0.27,24,1.957934
0.25,16,1.968462
0.2,18,1.983014
0.2,16,1.993569
0.26,16,2.004181
0.21,14,2.013499
0.24,20,2.026603
0.23,20,2.039628
0.22,18,2.051817
0.29,14,2.06129
0.25,18,2.07367
0.19,22,2.087853
0.27,22,2.109993
0.22,20,2.124154
0.27,16,2.13529
0.27,24,3.115565
0.23,18,3.127534
0.22,14,3.137012
0.21,24,3.152528
0.23,22,3.166812
0.32,16,3.177431
0.3,24,3.192991
0.2,26,3.210028
0.19,32,3.234237
0.21,22,3.248668
0.27,16,3.259232
0.28,14,3.268995
0.22,18,3.281167
0.21,18,3.293158
0.27,14,3.302644
0.29,20,3.315727
0.22,22,3.330163
0.2,18,3.341999
0.27,24,3.357977
0.22,14,3.367923
0.24,18,3.380302
0.33,24,3.399348
0.14,18,3.413649
0.26,14,3.423145
0.27,16,3.438256
0.25,16,3.456318
0.25,14,3.465955
0.28,18,3.478178
0.3,24,3.493891
0.22,24,3.509616
0.25,14,3.519221
2.83,14,3.528833
0.31,24,3.544506
0.2,14,3.554169
0.2,20,3.567354
0.19,24,3.584289
0.19,20,3.597533
0.24,24,3.613297
0.2,18,3.626908
0.4,18,3.63876
0.24,32,3.662497
0.28,14,3.672443
0.15,24,3.692353
0.29,24,3.708893
0.21,18,3.721585
0.21,22,3.736644
0.3,18,3.748914
0.35,14,3.75864
0.32,14,3.787897
0.33,22,3.802545
0.22,26,3.819372
0.27,22,3.834159
0.24,18,3.846006
0.15,22,3.860633
0.28,20,3.878414
0.27,20,3.891602
0.26,26,3.908506
0.24,24,3.924164
0.29,18,3.936134
0.19,16,3.94674
0.21,22,3.961089
0.24,26,3.97814
0.21,28,3.99619
0.26,20,4.009623
0.26,14,4.019116
0.2,18,4.031089
0.22,22,4.045422
0.22,14,4.054816
0.3,18,4.066729
0.2,18,4.078604
0.2,22,4.093017
0.28,16,4.104208
0.28,14,4.113979
0.27,16,4.127576
0.2,22,4.142303
0.19,20,4.15575
0.28,30,4.179183
0.18,18,4.1947
0.3,22,4.211507
0.25,24,4.227484
0.24,18,4.239498
0.27,16,4.250386
0.24,16,4.261178
0.19,26,4.278175
0.19,22,4.292608
0.28,20,4.311178
0.25,18,4.323205
0.27,14,4.33286
0.2,14,4.342294
0.28,14,4.351767
0.27,22,4.372004
0.21,14,4.382355
0.3,18,4.39458
0.14,20,4.407857
0.28,24,4.423513
0.23,22,4.438447
0.21,24,4.455132
0.31,26,4.478764
0.38,20,4.501461
0.24,16,4.51316
0.26,16,4.523799
0.21,28,4.542081
0.27,16,4.552821
0.27,18,5.608825
0.25,18,5.622721
0.3,22,5.637786
0.29,24,5.654262
0.29,14,5.66426
0.27,20,5.677497
0.25,18,5.689844
0.23,16,5.700828
0.23,18,5.713074
0.27,26,5.730288
0.2,16,5.741318
0.27,20,5.754683
0.3,20,5.76792
0.27,14,5.777503
0.35,22,5.792125
0.29,20,5.80566
0.2,16,5.816748
0.19,28,5.835264
0.26,20,5.848722
0.24,28,5.867359
0.23,24,5.883166
0.2,18,5.895285
0.38,20,5.908654
0.25,18,5.92075
0.2,14,5.930517
0.27,22,5.945264
0.22,16,5.956424
0.28,18,5.968729
