r,l,t
0.32,14,13.2736
0.26,14,13.283121
0.3,18,13.295143
0.31,14,13.304652
0.3,16,13.319686
0.34,18,13.331767
0.3,16,13.342808
0.38,14,13.352278
0.28,16,13.363064
0.35,18,13.375103
0.23,20,13.388243
0.25,19,13.400769
0.32,18,13.412578
0.23,26,13.429307
0.3,16,13.439983
2.83,12,13.448156
0.33,16,13.45899
0.35,16,13.4697
2.83,14,13.479043
0.32,14,13.488395
0.24,20,13.501526
0.36,14,13.511013
0.24,16,13.521655
0.28,14,13.531053
0.38,14,13.540603
2.79,12,13.548757
0.24,14,13.558183
0.36,14,13.567897
0.27,14,13.577312
0.32,18,13.589113
0.29,16,13.599899
2.83,14,13.609319
0.33,16,13.620359
0.23,22,13.6347
0.35,24,13.650331
0.35,18,13.662821
0.26,16,13.673663
2.78,16,13.68433
0.24,16,13.695099
0.3,20,13.708996
0.35,20,13.722996
0.35,14,13.73327
0.27,22,13.751287
0.33,26,13.769034
0.27,14,13.778742
0.24,16,13.789732
0.27,22,13.82562
2.83,12,13.834265
0.3,14,13.844272
0.32,16,13.855395
0.33,18,13.871643
0.35,16,13.887484
0.33,16,13.902622
0.31,14,13.91263
0.21,18,13.928053
2.79,12,13.937392
2.79,16,13.948278
0.33,18,13.960364
0.24,14,13.969958
0.33,14,13.979819
0.28,22,13.994394
0.35,14,14.004054
0.25,14,14.01715
0.38,14,14.027219
0.28,18,14.039587
0.35,30,15.53955
0.28,24,15.618265
0.33,16,15.647716
0.3,18,15.665621
0.28,32,15.723506
0.29,16,15.74145
2.83,18,15.759394
2.79,12,15.77162
0.23,18,15.789929
2.83,14,15.803861
0.35,16,15.82138
0.33,18,15.857511
0.33,14,15.88725
0.3,18,15.906708
0.35,18,15.95873
0.3,16,15.983953
0.35,14,15.99869
0.25,14,16.016404
2.79,14,16.037903
0.33,14,16.053473
0.35,14,16.068966
0.28,16,16.086877
0.32,16,16.10482
0.28,14,16.120303
0.35,22,16.14474
2.79,14,16.160095
0.35,18,16.203809
2.83,16,16.231414
0.33,22,16.254543
0.35,28,16.296592
0.24,14,16.310641
2.83,12,16.328464
0.28,14,16.343517
0.35,18,16.361481
0.3,16,16.381855
2.83,12,16.396966
2.79,18,16.415308
0.35,20,16.436051
0.34,22,16.467169
0.35,26,16.495527
0.3,22,16.559134
2.83,12,16.570786
0.24,16,16.612658
0.3,16,16.644139
0.28,16,16.666392
0.35,18,16.686703
0.36,18,16.704576
0.33,32,16.748627
0.28,22,16.773389
0.27,16,16.790979
0.33,28,16.822269
0.35,18,16.840533
0.32,14,16.868546
0.3,16,16.885633
0.31,18,16.907199
0.28,20,16.934023
0.29,18,16.973089
0.3,16,16.991973
0.3,22,17.022803
0.29,16,17.0392
0.3,18,17.058125
0.27,20,17.078583
0.33,18,17.096128
0.28,14,17.110095
0.36,14,17.123932
0.36,18,17.16975
0.34,14,17.185084
0.35,16,17.208197
0.35,16,17.225635
0.3,14,17.25564
0.33,28,17.293853
0.4,20,17.314283
0.35,16,17.328948
0.35,24,17.348114
0.24,20,17.361269
0.3,18,17.373255
2.79,14,17.382547
0.35,14,17.391805
0.33,20,17.404752
0.34,14,17.414035
0.34,16,17.427494
0.3,22,17.443367
2.83,12,17.451513
0.29,18,17.463328
0.3,16,17.474062
0.38,14,17.483464
0.29,16,17.494605
0.28,18,17.506398
0.29,18,17.518114
0.29,14,17.527537
0.24,18,17.542211
0.31,18,17.554043
0.35,14,17.563367
0.35,20,17.577695
2.83,16,17.588217
0.29,14,17.597646
2.79,12,17.606304
0.33,16,17.62545
0.35,22,17.639832
2.79,12,17.647939
0.28,18,17.660583
0.36,14,17.66994
2.83,20,17.683328
0.3,16,17.693979
0.35,18,17.705865
0.33,14,17.715181
0.33,14,17.724624
0.31,16,17.735242
2.83,12,17.743623
2.79,14,17.753109
0.35,30,17.774335
0.31,28,17.797752
0.35,14,17.808268
0.4,22,17.824541
0.33,20,17.840335
0.35,22,17.856375
0.33,14,18.817991
0.36,18,18.830631
0.24,18,18.842822
0.32,22,18.857512
0.29,24,18.873035
2.83,12,18.881526
0.28,18,18.893415
2.83,14,18.902956
0.27,20,18.916058
0.3,16,18.928248
2.79,12,18.936532
0.33,28,18.956068
0.3,26,18.974394
0.28,18,18.996105
0.25,20,19.017895
0.27,20,19.037332
0.35,14,19.050961
0.33,14,19.060724
2.79,12,19.068865
0.27,16,19.079944
2.79,18,19.09183
0.4,14,19.103776
2.79,12,19.11197
2.79,12,19.120219
2.79,14,19.129903
2.79,14,19.139378
2.83,14,19.14872
2.83,14,19.158144
0.33,16,19.171263
2.83,12,19.179474
0.33,14,19.189151
0.38,14,19.198503
0.28,14,19.207856
2.79,14,19.217214
0.33,16,19.227915
0.33,16,19.238537
0.35,14,19.248218
2.83,14,19.257634
0.36,14,19.266989
0.29,16,19.278016
0.28,18,19.289815
2.83,12,19.319447
2.79,14,19.32904
0.28,20,19.342304
0.38,18,19.354271
2.83,12,19.362555
0.33,18,19.374837
0.29,16,19.38558
0.4,18,19.397477
0.31,18,19.409614
0.33,16,19.420256
2.83,18,19.432086
2.83,12,19.440207
2.83,12,19.448301
0.31,16,19.458961
0.35,16,19.469748
0.31,18,19.481551
2.79,12,19.489617
0.28,14,19.498939
0.31,16,19.513995
0.3,18,19.526146
2.79,12,19.534318
0.3,16,19.5453
2.83,14,19.554842
0.21,32,19.577789
2.83,22,19.593662
0.24,14,19.603784
0.32,14,19.615145
2.79,12,19.625978
2.79,14,19.636982
2.79,12,19.645404
0.29,18,19.658364
0.24,14,19.668334
0.23,16,19.67935
0.25,14,19.689048
0.29,18,19.701219
0.3,14,19.710964
0.31,14,19.720632
0.29,20,19.737903
0.35,16,19.752168
2.83,14,19.762365
2.79,12,19.770807
0.28,16,19.786287
0.28,22,19.801636
2.83,14,19.811306
2.83,12,19.819689
0.24,16,19.830633
0.33,16,19.841893
0.26,18,19.854717
0.33,18,19.866937
0.3,18,19.87937
0.23,22,19.894133
2.83,14,19.90893
0.35,14,19.918933
0.35,18,19.933597
0.35,20,19.947134
2.83,20,19.960543
0.35,14,19.970857
0.35,18,19.983395
2.79,18,19.995748
0.3,16,20.006749
2.83,20,20.020159
0.33,16,20.030904
2.83,12,20.063218
2.79,14,20.076313
0.36,16,20.08734
0.32,14,20.096934
2.79,18,20.109157
0.3,24,20.125417
0.3,16,20.13627
2.83,12,20.144906
2.83,16,20.157235
0.36,14,20.169366
0.26,14,20.178949
0.31,28,20.197222
2.79,14,20.207004
0.35,18,20.218981
2.79,12,20.227216
0.35,24,20.246133
0.38,14,20.256513
0.32,14,20.266099
0.35,22,20.280888
0.33,18,20.29285
0.28,18,20.30485
0.38,14,20.314499
0.27,18,20.326713
2.79,14,21.547111
0.25,24,21.603808
2.79,14,21.640231
0.28,18,21.66474
2.83,14,21.720303
2.83,12,21.766583
0.33,22,21.857884
2.83,12,21.899981
2.83,14,21.927296
0.28,22,21.979544
2.83,20,22.02197
2.83,14,22.037056
2.79,12,22.063311
2.79,12,22.085282
0.32,16,22.144925
0.3,18,22.161099
2.79,16,22.213577
0.24,16,22.274181
0.31,14,22.325716
2.79,12,22.351491
0.35,22,22.420695
2.79,14,22.466138
0.34,14,22.509705
2.83,12,22.547098
0.27,16,22.580418
2.83,14,22.64521
2.83,16,22.684136
0.28,18,22.7333
0.26,22,22.806295
0.27,16,22.82605
2.79,12,22.839877
0.4,28,22.867874
2.79,12,22.879578
2.79,12,22.887709
0.28,14,22.897092
0.35,20,22.910676
0.29,16,22.921323
0.28,16,22.939193
2.79,12,22.967937
0.27,14,22.977371
0.32,16,22.987925
0.28,14,22.997341
0.26,14,23.006692
0.35,16,23.017323
2.79,14,23.026642
0.34,20,23.039885
0.28,14,23.050507
2.79,14,23.060245
0.23,16,23.07084
0.25,28,23.091326
2.79,12,23.099849
0.3,20,23.113205
2.79,12,23.121596
0.4,18,23.134695
0.24,18,23.154259
0.28,18,23.171934
2.83,12,23.180231
2.79,16,23.19113
2.79,14,23.2007
2.83,12,23.209171
0.36,18,23.221878
2.83,12,23.230362
2.79,12,23.238637
0.27,24,23.254501
2.79,12,23.262785
0.3,14,23.272463
2.83,12,23.280762
0.3,22,23.295494
2.83,14,23.304961
0.32,18,23.316981
0.29,24,23.332991
2.83,12,23.341504
0.33,14,23.351051
0.36,14,23.360584
0.31,20,23.374243
0.33,18,23.392957
2.79,14,23.405383
0.24,16,23.416615
0.27,16,23.427465
0.33,16,23.43826
0.33,16,23.449077
2.79,12,23.457895
2.83,12,23.466149
0.28,22,23.481245
0.29,22,23.495799
2.83,12,23.504196
2.83,14,23.513777
2.83,14,23.52321
0.28,20,23.536708
2.83,12,23.545196
0.28,28,23.563829
2.79,12,23.572287
2.83,14,23.583082
0.3,18,23.598932
0.36,14,23.608508
0.35,16,23.620351
2.83,12,23.631039
0.31,20,23.644407
0.35,20,23.657843
2.83,12,23.666358
0.28,22,23.69978
0.25,28,23.717879
2.83,12,23.726057
2.79,14,23.7354
0.33,16,23.746173
0.21,32,23.768523
0.35,20,23.781674
0.33,16,23.792215
2.83,14,23.801554
2.79,16,23.812176
2.83,14,23.821786
0.3,14,23.835827
0.28,20,23.849677
2.79,12,23.857827
0.25,24,23.87339
2.83,14,23.88281
0.27,22,23.901707
0.28,24,23.918518
2.79,16,23.93066
2.79,12,23.940333
2.83,18,23.9524
0.26,18,23.964304
2.83,12,23.97307
0.31,20,23.9863
0.32,16,23.997485
2.83,14,25.005122
2.79,12,25.013418
2.83,12,25.0217
2.79,14,25.031167
0.24,14,25.041058
0.28,22,25.055501
0.27,20,25.068725
2.83,12,25.076924
