r,l,t
0.61,18,0.440833
0.83,14,0.45144
0.59,22,0.468895
0.41,18,0.482318
0.29,24,0.500439
0.22,14,0.510869
0.19,20,0.525713
0.78,14,0.535968
0.58,28,0.563831
0.51,20,0.57855
0.29,14,0.588801
0.32,14,0.599019
0.09,30,0.620523
0.62,24,0.63777
0.44,14,0.647985
0.41,24,0.66495
0.34,32,0.68839
0.39,16,0.701651
0.6,14,0.713407
0.56,18,0.726507
0.37,16,0.739127
0.51,16,0.751876
0.42,28,0.772943
0.22,30,0.79483
0.46,20,0.81001
0.12,28,0.849227
0.48,16,0.861064
0.47,22,0.877393
0.19,18,0.896724
0.32,16,0.909033
0.47,18,0.923115
0.39,32,0.949497
0.31,26,0.969175
0.24,32,0.993692
0.38,14,1.004604
0.34,30,1.02667
0.61,18,1.040092
0.43,14,1.050769
0.29,32,1.090073
0.29,24,1.121682
0.36,18,1.142576
0.33,22,1.174598
0.49,18,1.200507
0.32,26,1.230117
0.51,14,1.246528
0.59,16,1.266196
0.33,18,1.288041
0.44,16,1.306137
0.34,32,1.462144
0.27,18,1.475665
0.34,28,1.497105
0.43,14,1.508069
0.44,26,1.527197
0.51,18,1.544694
0.53,14,1.555444
0.34,20,1.580503
0.49,16,1.594499
0.34,18,1.608167
0.3,26,1.627659
0.49,22,1.643896
0.71,22,1.660077
0.44,26,1.679151
0.63,18,1.692683
0.41,14,1.703471
0.09,16,1.715646
0.46,14,1.730356
0.41,16,1.742568
0.36,24,1.765255
0.58,24,1.784551
0.34,26,1.803697
0.42,18,1.821325
0.26,28,1.842108
0.32,18,1.855937
0.58,16,1.867857
0.27,14,1.878439
0.33,28,1.901023
0.52,32,1.926361
0.49,16,1.938898
0.29,18,1.953126
0.54,14,1.964242
0.55,16,1.976591
0.12,20,1.991461
0.44,26,2.010588
0.51,18,2.024382
0.41,24,2.041855
0.46,20,2.056549
0.51,20,2.07185
0.19,22,2.08798
0.6,14,2.099865
0.19,16,2.111992
0.31,32,2.14051
0.71,20,2.155094
0.51,24,2.17217
0.19,16,2.184304
0.34,18,2.197524
0.51,14,2.208791
0.39,32,2.232896
0.36,14,2.259082
0.23,22,2.274772
0.22,21,3.466672
0.68,16,3.478787
0.32,22,3.495108
0.69,16,3.507169
0.53,24,3.524786
0.57,18,3.538342
0.63,18,3.551944
0.69,18,3.565402
0.63,16,3.577625
