#{"t_start": 1663527572.770394, "env_id": "SizeThreeSimpleGridRoadEnv-v0"}
r,l,t
0.07,16,0.027765
0.13,18,0.044404
-0.05,32,0.075133
0.08,32,0.105542
0.02,20,0.12399
0.16,24,0.145929
0.0,24,0.167878
-0.06,18,0.184768
0.07,16,0.199515
-0.04,16,0.21526
0.23,16,0.227324
0.15,14,0.237961
0.05,16,0.250241
-0.02,30,0.272251
0.04,32,0.302479
0.16,14,0.312929
0.01,22,0.328751
0.06,22,0.345279
-0.06,20,0.359994
0.01,24,0.37737
0.1,18,0.390615
0.23,22,0.406751
0.07,18,0.420029
-0.04,20,0.43489
0.11,20,0.455983
-0.02,16,0.468891
0.13,14,0.479464
0.04,22,0.49722
2.71,12,0.509726
0.07,28,0.530048
0.11,16,0.5419
0.12,14,0.55255
0.04,20,0.566997
0.06,16,0.579013
0.04,24,0.59959
0.03,30,0.626832
-0.02,16,0.641806
0.05,18,0.659223
0.14,14,0.673342
0.03,32,0.698797
0.03,16,0.711371
0.05,14,0.725064
-0.07,22,0.741478
0.03,14,0.752697
0.01,16,0.764837
0.07,20,0.780203
0.08,22,0.796621
0.18,16,0.808515
0.04,24,0.826319
0.05,18,0.841717
0.16,14,0.875257
0.07,22,0.891941
0.06,18,0.909331
0.1,18,0.922712
0.03,26,0.942272
0.04,18,0.955984
0.0,16,0.967867
0.0,30,0.993052
0.01,26,1.011891
0.13,22,1.027905
0.09,22,1.045069
-0.07,18,1.058576
0.07,16,1.070366
0.03,32,1.098578
-0.05,20,1.113329
0.06,14,1.12381
0.01,20,1.139014
0.13,20,1.154196
-0.02,16,1.166544
0.11,14,1.177147
0.11,20,1.191749
0.02,26,1.212486
0.13,18,1.230564
0.07,22,1.251522
0.13,14,1.264721
0.04,16,1.279867
0.06,28,1.310906
0.05,16,1.32577
-0.04,22,1.346244
0.14,18,1.36347
0.0,28,1.38733
0.05,32,1.411832
0.04,18,1.425339
0.13,24,1.44273
-0.06,24,1.460893
