#{"t_start": 1663528402.2975295, "env_id": "SimpleGridRoadEnv-v0"}
r,l,t
1.71,35,0.037785
0.36,35,0.064787
2.13,35,0.092022
0.87,35,0.118438
0.66,35,0.146417
-0.52,35,0.173074
-0.12,35,0.201882
0.9,35,0.232931
1.52,35,0.267875
0.19,35,0.296896
1.63,35,0.325974
1.84,35,0.35317
0.81,35,0.379937
1.03,35,0.40717
0.39,35,0.434676
1.22,35,0.462337
0.59,35,0.493921
0.47,35,0.52367
1.15,35,0.550539
0.69,35,0.576952
0.37,35,0.606588
1.49,35,0.635741
1.25,35,0.664245
2.0,35,0.691073
0.43,35,0.722877
-0.27,35,0.749401
0.34,35,0.775664
1.72,35,0.802388
1.48,35,0.849843
2.34,35,0.878597
0.96,35,0.917055
0.89,35,0.951946
0.46,35,0.978832
1.15,35,1.006951
-0.22,35,1.033992
0.18,35,1.061253
1.1,35,1.088588
1.79,35,1.115704
0.52,35,1.142601
0.83,35,1.175216
1.72,35,1.208122
1.84,35,1.234902
-0.24,35,1.262096
0.45,35,1.29169
0.31,35,1.32288
0.66,35,1.350926
0.57,35,1.379289
0.22,35,1.40899
1.8,35,1.436221
1.68,35,1.462734
1.25,35,1.489125
-0.01,35,1.517006
0.61,35,1.547544
0.61,35,1.573762
1.05,35,1.600474
1.58,35,1.632071
-0.12,35,1.660542
0.75,35,1.695705
0.59,35,2.969709
1.87,35,2.997401
1.6,35,3.026544
1.44,35,3.053818
-0.01,35,3.081741
0.47,35,3.109012
1.49,35,3.136307
0.39,35,3.164623
1.27,35,3.196052
1.26,35,3.226354
1.51,35,3.253384
0.32,35,3.281672
1.74,35,3.313332
1.53,35,3.343088
1.2,35,3.371636
1.19,35,3.403841
1.56,35,3.431488
0.69,35,3.462156
0.78,35,3.489195
1.54,35,3.51589
1.7,35,3.543161
1.03,35,3.569737
0.89,35,3.597052
0.61,35,3.628268
1.73,35,3.655067
0.01,35,3.682959
0.02,35,3.70989
1.33,35,3.75537
1.08,35,3.782174
1.84,35,3.809387
1.86,35,3.840705
1.17,35,3.867084
1.24,35,3.893386
2.08,35,3.92467
1.04,35,3.962171
0.54,35,3.989562
1.56,35,4.016761
1.68,35,4.046897
1.32,35,4.074367
1.8,35,4.101196
1.71,35,4.128074
0.75,35,4.155671
0.17,35,4.183375
0.7,35,4.211218
1.57,35,4.238228
1.44,35,4.270794
0.95,35,4.298135
1.67,35,4.328938
1.46,35,4.356418
1.68,35,4.384614
1.26,35,4.412819
1.45,35,4.44463
0.81,35,4.483327
1.47,35,4.517467
1.72,35,4.551401
0.46,35,4.584666
1.12,35,4.637657
0.91,35,4.670692
0.19,35,4.708951
1.51,35,5.950295
0.97,35,5.976609
0.61,35,6.01059
1.62,35,6.03939
1.6,35,6.067395
0.84,35,6.093486
0.9,35,6.119694
0.8,35,6.146476
0.75,35,6.183855
1.43,35,6.217497
1.68,35,6.245539
1.93,35,6.272955
1.45,35,6.301179
1.22,35,6.331194
1.52,35,6.359441
1.44,35,6.388713
1.05,35,6.420719
2.42,35,6.44843
1.64,35,6.474895
1.61,35,6.501526
0.55,35,6.528082
1.5,35,6.554496
1.43,35,6.580875
1.89,35,6.612217
1.46,35,6.638971
1.08,35,6.683898
1.48,35,6.71067
1.55,35,6.7376
0.89,35,6.764045
1.92,35,6.79056
1.5,35,6.822222
0.5,35,6.848805
1.03,35,6.875611
0.68,35,6.902127
1.69,35,6.93341
1.1,35,6.964614
2.71,35,6.991563
1.36,35,7.017748
1.84,35,7.062601
1.97,35,7.103223
1.73,35,7.131983
1.56,35,7.160444
1.58,35,7.187251
1.54,35,7.214699
1.5,35,7.241064
2.29,35,7.281188
1.68,35,7.30939
1.71,35,7.344354
0.8,35,7.377696
1.94,35,7.40476
0.74,35,7.432035
1.27,35,7.465399
1.17,35,7.502494
1.62,35,7.529548
0.87,35,7.574922
1.28,35,7.601388
0.44,35,7.628006
2.11,35,7.654317
1.55,35,8.852202
1.1,35,8.87886
1.37,35,8.905455
1.47,35,8.938684
1.49,35,8.965028
1.8,35,8.991462
1.5,35,9.018831
1.94,35,9.049926
0.77,35,9.097677
1.52,35,9.130932
2.55,35,9.164069
1.97,35,9.190441
2.08,35,9.217633
2.02,35,9.247919
1.02,35,9.274135
1.47,35,9.306004
1.49,35,9.335201
1.44,35,9.364474
1.86,35,9.39036
1.36,35,9.418257
1.5,35,9.446643
2.08,35,9.473277
2.41,35,9.500088
1.92,35,9.532264
1.63,35,9.570215
1.67,35,9.665895
0.77,35,9.727498
1.59,35,9.781685
1.92,35,9.830359
1.57,35,9.871803
1.25,35,9.920777
1.74,35,9.990969
1.83,35,10.035361
1.93,35,10.087902
1.72,35,10.146019
1.73,35,10.187382
1.94,35,10.277248
1.46,35,10.369094
1.72,35,10.406816
0.84,35,10.443635
1.83,35,10.470414
1.26,35,10.502214
2.05,35,10.528766
1.97,35,10.55599
1.84,35,10.583235
1.58,35,10.609713
1.79,35,10.636472
1.37,35,10.664069
0.61,35,10.701527
0.63,35,10.739348
1.62,35,10.76592
1.42,35,10.792444
1.98,35,10.81917
1.99,35,10.869488
1.55,35,10.895875
1.5,35,10.922915
1.22,35,10.957638
1.27,35,10.987502
2.01,35,11.014321
1.63,35,12.242306
1.69,35,12.26955
1.74,35,12.297088
2.2,35,12.326172
2.28,35,12.353498
1.91,35,12.382868
2.17,35,12.410101
1.63,35,12.438123
1.82,35,12.469822
2.15,35,12.496908
2.1,35,12.523457
1.56,35,12.549905
0.78,35,12.576124
2.41,35,12.60253
1.28,35,12.629397
1.55,35,12.656062
1.77,35,12.687759
0.91,35,12.717142
1.62,35,12.744108
1.96,35,12.77107
1.67,35,12.797459
1.86,35,12.830004
1.73,35,12.85648
0.64,35,12.905894
1.73,35,12.935891
1.41,35,12.966482
1.96,35,12.993426
1.85,35,13.019787
1.37,35,13.046541
1.86,35,13.076986
1.16,35,13.172759
1.36,35,13.233238
2.32,35,13.371914
1.73,35,13.516637
1.62,35,13.569936
1.79,35,13.658962
1.71,35,13.754154
1.87,35,13.849849
1.42,35,13.893617
2.34,35,13.936924
2.07,35,13.987993
2.3,35,14.031229
1.35,35,14.077755
2.18,35,14.122754
1.92,35,14.17192
1.71,35,14.262068
1.6,35,14.329326
1.78,35,14.385702
1.93,35,14.437611
1.85,35,14.48557
1.96,35,14.529323
1.71,35,14.626632
1.64,35,14.653712
1.6,35,14.680173
2.51,35,14.711959
1.81,35,14.738585
1.64,35,14.769442
1.74,35,14.795998
1.2,35,17.022957
2.04,35,17.0493
1.9,35,17.076585
1.93,35,17.104339
1.21,35,17.131133
2.07,35,17.159704
1.61,35,17.186438
1.65,35,17.213046
1.82,35,17.245
1.67,35,17.272163
1.68,35,17.301165
1.99,35,17.332708
2.33,35,17.370377
1.29,35,17.396492
1.66,35,17.423208
2.06,35,17.4539
1.68,35,17.487486
1.99,35,17.52355
1.72,35,17.549709
1.9,35,17.577156
1.93,35,17.603938
1.87,35,17.63168
1.81,35,17.680601
1.63,35,17.708567
0.8,35,17.735928
1.79,35,17.762218
1.41,35,17.788531
1.8,35,17.815395
1.87,35,17.842899
1.95,35,17.868921
1.96,35,17.89961
7.48,26,17.918725
0.55,35,17.945121
2.19,35,17.971587
1.31,35,17.997898
1.66,35,18.024838
2.02,35,18.055147
2.16,35,18.085386
1.85,35,18.11679
1.75,35,18.143689
1.8,35,18.172645
2.13,35,18.200356
1.77,35,18.227685
1.66,35,18.254771
1.1,35,18.282908
2.44,35,18.311131
1.41,35,18.353317
1.71,35,18.3949
1.99,35,18.42865
1.26,35,18.462074
1.74,35,18.495765
1.04,35,18.549326
2.24,35,18.581753
1.46,35,18.608301
1.44,35,18.635241
1.75,35,18.669107
1.71,35,18.696769
2.29,35,18.724076
2.27,35,18.751378
1.25,35,19.986564
1.22,35,20.013274
1.71,35,20.04021
7.45,34,20.065307
2.28,35,20.092578
1.99,35,20.119055
1.96,35,20.146444
1.84,35,20.173563
1.7,35,20.206063
2.41,35,20.233604
2.25,35,20.2614
2.06,35,20.288489
2.39,35,20.31653
2.17,35,20.345652
2.35,35,20.372343
2.22,35,20.39941
0.6,35,20.441991
2.07,35,20.472525
1.38,35,20.500887
1.67,35,20.527429
2.35,35,20.573047
1.9,35,20.600528
2.08,35,20.627623
1.52,35,20.658724
2.05,35,20.685461
1.91,35,20.712347
1.77,35,20.739079
1.97,35,20.765475
1.8,35,20.795628
2.25,35,20.822468
1.79,35,20.850037
2.31,35,20.881547
1.61,35,20.908296
1.98,35,20.935412
1.8,35,20.962193
2.29,35,20.989006
1.98,35,21.015674
2.12,35,21.042959
1.89,35,21.069764
1.89,35,21.107307
1.86,35,21.135118
2.16,35,21.165964
1.77,35,21.193938
1.7,35,21.222064
1.66,35,21.24938
2.28,35,21.27603
2.12,35,21.303724
1.8,35,21.340394
2.39,35,21.366925
1.69,35,21.416116
2.25,35,21.447369
2.24,35,21.481697
1.35,35,21.508547
2.29,35,21.535278
1.95,35,21.567906
2.5,35,21.595687
2.09,35,21.622431
2.0,35,21.649784
1.81,35,22.906902
2.48,35,22.93502
2.14,35,22.962097
2.15,35,22.989722
1.95,35,23.016908
1.66,35,23.046526
2.02,35,23.073839
2.52,35,23.100873
2.55,35,23.133022
0.84,35,23.160896
2.08,35,23.187974
2.36,35,23.21476
1.74,35,23.241308
2.05,35,23.267927
7.17,28,23.288402
2.14,35,23.317625
1.83,35,23.354872
1.46,35,23.382222
2.04,35,23.409397
1.86,35,23.437914
2.02,35,23.491233
1.89,35,23.524139
2.01,35,23.552504
2.23,35,23.583932
2.61,35,23.61072
1.71,35,23.644978
1.13,35,23.678929
2.31,35,23.71262
2.49,35,23.746557
1.59,35,23.782643
2.25,35,23.821615
2.09,35,23.849674
2.33,35,23.876588
2.55,35,23.903306
2.27,35,23.930341
2.2,35,23.957412
1.65,35,23.983806
2.19,35,24.01132
1.81,35,24.050164
2.28,35,24.087207
2.31,35,24.122201
1.12,35,24.151403
2.28,35,24.178602
2.12,35,24.206193
1.46,35,24.235539
2.58,35,24.269349
1.92,35,24.297097
1.63,35,24.331056
2.27,35,24.376261
1.56,35,24.40334
2.03,35,24.430449
2.34,35,24.457626
1.76,35,24.490026
2.42,35,24.522476
2.05,35,24.551666
2.66,35,24.577946
1.88,35,24.604669
1.95,35,24.632998
2.47,35,24.659792
2.13,35,26.078817
2.11,35,26.107637
2.17,35,26.136128
1.83,35,26.164282
1.72,35,26.190929
1.77,35,26.21865
2.15,35,26.247392
2.26,35,26.285407
2.03,35,26.320921
1.44,35,26.349917
2.34,35,26.376567
2.57,35,26.403551
2.21,35,26.430672
2.35,35,26.458406
2.0,35,26.485122
2.42,35,26.517441
2.11,35,26.544375
1.69,35,26.579483
2.06,35,26.631024
7.28,26,26.650729
2.25,35,26.677347
1.92,35,26.705935
1.96,35,26.736638
1.59,35,26.76255
1.78,35,26.788454
1.71,35,26.815209
2.07,35,26.841873
2.45,35,26.868185
2.34,35,26.897594
1.95,35,26.923732
1.81,35,26.954683
1.27,35,26.981369
1.67,35,27.007551
2.26,35,27.03458
2.32,35,27.060919
2.34,35,27.087817
2.03,35,27.117173
2.36,35,27.145976
1.91,35,27.180361
1.76,35,27.214316
2.14,35,27.247618
1.92,35,27.27459
2.41,35,27.303438
2.26,35,27.33683
1.83,35,27.363864
2.14,35,27.398793
1.92,35,27.427422
2.14,35,27.473641
1.43,35,27.500963
2.44,35,27.528235
2.31,35,27.556602
2.56,35,27.595182
1.88,35,27.62903
2.18,35,27.656147
1.52,35,27.683621
1.88,35,27.713334
2.43,35,27.742628
2.17,35,27.772465
1.26,35,27.814691
2.17,35,29.063462
2.09,35,29.090632
2.19,35,29.116709
2.55,35,29.143558
1.52,35,29.17103
7.2,34,29.198175
2.08,35,29.227747
2.55,35,29.254611
2.02,35,29.286492
2.38,35,29.313034
2.05,35,29.349493
1.77,35,29.383109
2.22,35,29.410585
2.2,35,29.437686
2.52,35,29.465045
1.62,35,29.496491
1.22,35,29.545347
0.79,35,29.571621
2.53,35,29.59945
0.77,35,29.626168
2.32,35,29.660498
0.8,35,29.687199
1.7,35,29.718637
2.2,35,29.745363
