r,l,t
-0.15,35,0.039933
0.16,35,0.071728
-0.12,35,0.098999
0.2,35,0.130853
0.19,35,0.157118
-0.12,35,0.18346
-0.06,35,0.209792
0.18,35,0.245258
0.5,35,0.274632
0.28,35,0.303434
0.26,35,0.330289
-0.09,35,0.369073
-0.05,35,0.395179
-0.12,35,0.424468
-0.01,35,0.453342
0.29,35,0.48543
0.35,35,0.511673
-0.06,35,0.545382
-0.01,35,0.572073
0.03,35,0.601739
0.16,35,0.638888
0.13,35,0.674623
-0.17,35,0.706426
-0.17,35,0.733155
0.48,35,0.764518
0.26,35,0.792809
0.2,35,0.822811
-0.05,35,0.850222
-0.1,35,0.896638
-0.06,35,0.928899
0.35,35,0.956874
0.08,35,0.989631
-0.16,35,1.017502
0.06,35,1.043975
0.08,35,1.070359
-0.16,35,1.102844
-0.06,35,1.135497
-0.14,35,1.163479
-0.21,35,1.191927
0.51,35,1.219815
0.19,35,1.24711
0.01,35,1.277915
0.23,35,1.306282
0.04,35,1.338835
0.24,35,1.367868
-0.23,35,1.39651
-0.14,35,1.425267
0.42,35,1.451818
0.13,35,1.478946
-0.01,35,1.505726
0.19,35,1.546383
0.29,35,1.588531
0.04,35,1.61669
0.3,35,1.647844
-0.09,35,1.673972
-0.06,35,1.701125
0.34,35,1.730712
-0.14,35,1.771343
-0.28,35,2.970265
0.1,35,2.996489
0.4,35,3.024156
0.02,35,3.051822
0.07,35,3.079196
0.39,35,3.106346
0.07,35,3.132497
0.25,35,3.159172
-0.06,35,3.195372
0.3,35,3.22229
0.34,35,3.250901
-0.13,35,3.279196
0.04,35,3.306223
0.19,35,3.332672
0.02,35,3.359298
0.19,35,3.38905
0.09,35,3.423984
0.31,35,3.450595
0.22,35,3.477524
0.1,35,3.504587
0.41,35,3.531846
-0.05,35,3.558477
-0.01,35,3.58532
0.27,35,3.620887
-0.18,35,3.652373
-0.02,35,3.679525
0.12,35,3.706386
0.12,35,3.752027
0.17,35,3.778866
0.23,35,3.809157
0.1,35,3.83552
0.06,35,3.866127
0.41,35,3.892436
0.41,35,3.919097
0.12,35,3.945694
0.22,35,3.97294
0.2,35,4.004399
0.1,35,4.031691
0.12,35,4.058011
0.32,35,4.089691
-0.09,35,4.115556
0.07,35,4.141345
0.12,35,4.167456
0.06,35,4.194263
0.32,35,4.220442
0.55,35,4.246752
0.21,35,4.273299
0.18,35,4.304352
0.27,35,4.330707
0.14,35,4.356939
0.02,35,4.383216
0.11,35,4.409527
0.21,35,4.435462
0.09,35,4.461993
0.17,35,4.489143
0.25,35,4.519705
0.46,35,4.564171
0.31,35,4.592851
0.12,35,4.630713
0.39,35,5.877938
0.32,35,5.905171
0.21,35,5.931584
0.53,35,5.957707
0.04,35,5.985015
0.15,35,6.011556
0.37,35,6.03904
0.07,35,6.070183
0.52,35,6.101713
0.34,35,6.130141
0.44,35,6.157195
0.5,35,6.184083
0.04,35,6.211087
0.55,35,6.237996
0.32,35,6.265142
0.34,35,6.291782
0.25,35,6.322897
0.3,35,6.349393
0.12,35,6.375804
0.09,35,6.407695
0.46,35,6.434495
0.16,35,6.464639
0.11,35,6.491331
-0.17,35,6.517553
0.22,35,6.547816
0.12,35,6.592945
0.43,35,6.620524
0.32,35,6.648904
0.52,35,6.681865
0.33,35,6.711611
0.38,35,6.738259
0.19,35,6.768729
0.28,35,6.795061
0.4,35,6.824551
0.4,35,6.851518
0.41,35,6.87777
0.29,35,6.903819
0.13,35,6.929839
0.08,35,6.956303
0.27,35,6.987247
-0.07,35,7.014477
0.07,35,7.041522
0.08,35,7.067948
0.3,35,7.094556
0.43,35,7.120803
0.35,35,7.147137
0.35,35,7.173232
0.15,35,7.206827
0.23,35,7.236583
0.21,35,7.263234
0.5,35,7.298907
0.37,35,7.329079
0.44,35,7.355329
0.01,35,7.381595
0.17,35,7.430938
0.25,35,7.457443
0.33,35,7.483819
0.07,35,7.510395
0.38,35,8.766044
6.16,30,8.787813
0.34,35,8.818281
0.46,35,8.844892
0.11,35,8.883487
0.44,35,8.910616
0.42,35,8.937617
0.38,35,8.964195
0.42,35,8.995528
0.47,35,9.022435
0.38,35,9.050022
0.52,35,9.078544
0.31,35,9.105098
0.42,35,9.132469
0.26,35,9.158772
0.37,35,9.188366
0.32,35,9.220467
0.51,35,9.24766
0.45,35,9.275965
0.25,35,9.30271
0.36,35,9.329511
0.45,35,9.356085
0.05,35,9.382584
0.28,35,9.411335
0.52,35,9.442772
0.49,35,9.48962
0.17,35,9.518205
0.59,35,9.546002
0.12,35,9.573258
0.51,35,9.599606
0.24,35,9.628075
0.29,35,9.659457
0.01,35,9.68581
0.57,35,9.713458
0.24,35,9.742159
0.38,35,9.776019
0.22,35,9.811864
0.3,35,9.845469
6.21,28,9.870294
0.5,35,9.89677
0.53,35,9.930487
0.61,35,9.95723
0.19,35,9.98439
0.39,35,10.012399
0.48,35,10.043077
0.45,35,10.073241
0.3,35,10.105466
0.53,35,10.132756
0.44,35,10.159446
0.35,35,10.190117
0.29,35,10.217084
0.21,35,10.243526
0.31,35,10.270524
0.13,35,10.330364
0.14,35,10.357153
0.49,35,10.383974
0.53,35,10.410535
0.15,35,10.437114
0.51,35,10.463927
0.36,35,11.725334
0.54,35,11.751665
0.35,35,11.777728
0.09,35,11.819055
0.4,35,11.849546
0.38,35,11.876482
0.35,35,11.903313
0.43,35,11.935733
0.45,35,11.962597
0.26,35,11.989844
0.56,35,12.016908
0.6,35,12.044531
6.37,30,12.06685
0.16,35,12.093257
0.51,35,12.120131
0.42,35,12.151787
0.28,35,12.178612
0.49,35,12.205903
0.39,35,12.232979
0.41,35,12.26233
0.3,35,12.292912
0.51,35,12.321086
0.25,35,12.350808
0.55,35,12.400202
0.55,35,12.43126
0.4,35,12.458549
0.46,35,12.48829
0.33,35,12.515795
0.37,35,12.542132
0.25,35,12.572248
0.47,35,12.603248
0.24,35,12.630881
0.49,35,12.657988
0.32,35,12.684255
0.51,35,12.710541
0.36,35,12.737447
0.22,35,12.763686
0.3,35,12.79046
0.42,35,12.830949
0.38,35,12.85955
0.16,35,12.886172
0.41,35,12.921766
0.34,35,12.949508
0.56,35,12.978211
0.48,35,13.011584
0.38,35,13.049298
0.2,35,13.078021
0.38,35,13.105285
0.54,35,13.132052
0.38,35,13.158483
0.66,35,13.183928
0.14,35,13.215624
0.22,35,13.250558
0.43,35,13.282043
0.55,35,13.309246
0.11,35,13.341469
0.3,35,13.369021
0.24,35,13.395533
0.15,35,13.423934
0.47,35,14.635167
0.6,35,14.662745
0.51,35,14.688918
0.59,35,14.715454
0.49,35,14.743093
0.54,35,14.769306
0.52,35,14.795989
0.65,35,14.828485
0.47,35,14.859895
0.43,35,14.895141
0.4,35,14.921784
0.61,35,14.949615
0.47,35,14.976025
0.31,35,15.002537
0.46,35,15.030207
0.06,35,15.058235
0.58,35,15.089859
0.49,35,15.117068
6.25,24,15.137228
0.61,35,15.16516
0.6,35,15.192527
0.43,35,15.219511
0.41,35,15.253948
0.63,35,15.281229
0.32,35,15.313246
0.46,35,15.339603
0.54,35,15.367894
0.45,35,15.39974
0.43,35,15.425999
0.35,35,15.456153
0.21,35,15.485719
0.57,35,15.512163
0.18,35,15.542026
0.58,35,15.569947
0.75,35,15.596308
0.43,35,15.638535
0.5,35,15.679749
0.46,35,15.719642
0.22,35,15.775143
0.58,35,15.823023
0.37,35,15.865666
0.4,35,15.930222
0.51,35,15.973217
0.35,35,16.026334
0.54,35,16.081113
0.33,35,16.125001
0.59,35,16.168055
0.34,35,16.234041
6.25,24,16.262599
0.47,35,16.329229
0.57,35,16.405069
0.64,35,16.449473
0.21,35,16.490294
0.4,35,16.531969
0.47,35,16.57303
0.4,35,16.615175
0.14,35,16.663356
0.58,35,16.709698
0.44,35,16.751042
0.58,35,18.16562
0.29,35,18.19252
0.48,35,18.219581
0.47,35,18.24638
0.38,35,18.284956
0.61,35,18.315475
0.43,35,18.342177
0.56,35,18.374355
0.62,35,18.401245
0.43,35,18.427859
0.38,35,18.459072
0.47,35,18.485923
0.26,35,18.512957
0.51,35,18.539464
0.38,35,18.566408
0.07,35,18.598668
0.47,35,18.627056
0.6,35,18.656091
0.7,35,18.68349
0.52,35,18.711239
0.39,35,18.74531
0.45,35,18.772308
0.54,35,18.799784
0.59,35,18.831983
0.7,35,18.858702
6.25,26,18.877954
0.32,35,18.904862
0.43,35,18.934382
0.66,35,18.960641
0.46,35,18.993685
0.43,35,19.024131
0.43,35,19.059846
0.47,35,19.088291
0.37,35,19.115136
0.15,35,19.141812
0.47,35,19.168331
0.2,35,19.19651
0.15,35,19.22814
0.24,35,19.254683
0.48,35,19.285798
0.44,35,19.312789
0.54,35,19.339398
0.49,35,19.369132
0.4,35,19.395091
0.47,35,19.427983
0.55,35,19.457396
0.31,35,19.483855
0.35,35,19.514481
0.46,35,19.542353
0.25,35,19.5915
0.67,35,19.617699
0.29,35,19.645805
0.57,35,19.673846
6.29,30,19.695904
0.41,35,19.726729
