#{"t_start": 1663527813.2687435, "env_id": "SizeThreeGridRoadEnv-v0"}
r,l,t
0.13,16,0.021459
0.09,16,0.034339
0.02,14,0.045249
0.01,22,0.061232
0.07,22,0.078134
0.06,14,0.08908
-0.04,30,0.110984
0.01,20,0.126819
0.05,18,0.140662
0.22,16,0.152708
0.02,20,0.167103
0.05,18,0.181365
0.06,26,0.202574
-0.04,26,0.221453
-0.04,20,0.237033
0.11,14,0.247593
0.07,18,0.260729
0.1,16,0.273059
0.14,26,0.291468
0.08,20,0.307454
0.01,16,0.324047
0.01,18,0.340889
0.04,18,0.356699
0.02,32,0.38104
0.09,26,0.400427
-0.04,14,0.410765
0.08,16,0.422481
0.04,28,0.442268
0.06,26,0.461083
0.08,22,0.476989
0.01,14,0.487227
0.09,14,0.497611
0.01,16,0.509247
0.07,20,0.523812
0.04,32,0.547587
0.04,24,0.564921
0.1,16,0.576552
0.13,16,0.592073
0.06,20,0.60655
0.08,22,0.622245
0.07,21,0.637401
0.07,22,0.662981
0.12,14,0.674055
0.04,14,0.684494
0.0,20,0.699264
-0.06,14,0.709608
0.1,22,0.725473
0.04,20,0.740098
0.23,22,0.760929
0.07,26,0.780386
0.05,32,0.823397
-0.02,16,0.835613
0.05,24,0.85401
0.09,18,0.868095
0.15,16,0.880127
0.04,18,0.893651
-0.04,20,0.909054
0.07,26,0.927755
-0.06,20,0.946233
0.05,14,0.959204
0.15,20,0.974998
-0.02,16,0.98796
-0.02,18,1.006082
0.04,18,1.01969
0.01,22,1.037033
0.06,20,1.054025
0.12,16,1.068052
0.15,14,1.07848
0.15,16,1.090274
0.11,20,1.104912
0.09,28,1.125106
0.04,14,1.137086
0.02,18,1.158857
-0.02,20,1.175435
-0.03,22,1.191663
0.1,18,1.205853
0.01,24,1.223148
-0.06,20,1.239109
0.16,16,1.250634
0.07,20,1.26522
0.03,22,1.281096
0.13,24,1.298086
0.1,22,1.317667
0.07,20,1.332145
0.07,16,1.350975
-0.07,18,1.366821
0.05,20,1.382553
0.09,16,1.394523
0.0,26,1.418434
0.05,18,1.43511
0.06,16,1.450153
0.07,14,1.4636
-0.04,14,1.476698
0.04,24,1.498477
0.06,16,1.513433
0.09,14,1.526428
0.06,14,1.536958
0.08,20,1.551376
-0.02,16,1.563376
0.04,24,1.580463
0.06,16,1.592258
-0.04,22,1.611474
0.04,24,1.635867
0.18,14,1.646232
0.06,20,2.843389
0.1,16,2.855135
0.09,16,2.86695
0.06,18,2.880538
0.07,18,2.893781
0.02,14,2.904565
0.09,20,2.91903
0.13,20,2.933827
0.1,16,2.94566
-0.05,26,2.970874
0.18,24,2.991709
0.05,14,3.002136
0.07,22,3.018258
0.1,18,3.031621
0.11,14,3.04208
0.01,18,3.055727
0.07,14,3.066329
0.1,22,3.082449
0.13,18,3.095596
0.08,14,3.106926
0.01,26,3.126742
0.13,16,3.139204
0.1,16,3.151069
0.0,16,3.163232
0.01,14,3.174487
0.1,20,3.189556
0.06,18,3.20312
0.02,18,3.216284
0.11,20,3.230991
-0.04,16,3.244765
0.1,14,3.255833
0.07,18,3.27287
0.06,16,3.2855
0.07,28,3.307079
0.07,20,3.322468
0.06,20,3.33745
0.08,18,3.351522
0.03,16,3.363455
0.1,22,3.380843
0.03,18,3.40249
0.01,22,3.423252
0.07,26,3.442189
0.04,22,3.460158
0.04,32,3.488211
0.15,14,3.499421
0.15,28,3.519918
0.01,14,3.531166
0.09,18,3.544441
0.0,18,3.557603
0.05,18,3.575034
0.11,16,3.58718
-0.02,20,3.622775
0.04,20,3.639805
0.08,22,3.656714
0.07,22,3.67308
0.09,20,3.687797
0.15,16,3.7036
0.07,20,3.718433
0.08,14,3.728877
0.07,26,3.747755
0.17,16,3.75974
0.05,18,3.773221
0.07,26,3.79212
0.12,18,3.805436
0.04,20,3.82016
0.05,16,3.831974
-0.02,16,3.843864
0.12,26,3.862601
0.1,16,3.875199
0.05,14,3.886386
0.1,14,3.897693
0.03,18,3.914178
-0.04,28,3.93464
0.01,22,3.950783
0.01,18,3.964663
0.1,18,3.978384
0.03,22,3.995026
2.71,16,4.007029
0.07,14,4.017674
0.05,22,4.034
0.1,14,4.044719
-0.04,14,4.055327
0.02,20,4.070115
0.04,18,4.083492
0.0,16,4.095386
0.07,14,4.106013
0.11,16,4.118326
0.01,18,4.131581
0.04,26,4.150522
0.12,22,4.170496
0.07,22,4.191106
0.05,20,4.207403
0.06,16,4.223082
0.07,18,4.238275
0.22,14,4.248979
0.12,18,4.262383
0.12,20,4.277918
-0.03,18,4.291703
0.01,24,4.309179
0.02,28,4.329441
0.13,16,4.341608
0.04,20,4.356397
0.1,24,4.374063
0.04,20,4.408186
0.07,22,4.431868
0.15,32,4.455958
0.16,16,4.468977
0.11,16,4.481786
0.09,16,5.721386
0.03,22,5.739931
0.15,14,5.750425
0.08,32,5.774421
