r,l,t
0.93,35,0.033843
1.18,35,0.057642
1.42,35,0.081421
2.25,35,0.104692
1.17,35,0.12797
1.15,35,0.151341
0.39,35,0.174468
1.61,35,0.198061
1.87,35,0.221526
1.13,35,0.251553
2.28,35,0.275427
2.24,35,0.298939
2.86,35,0.323997
2.67,35,0.34742
2.07,35,0.372021
0.28,35,0.401661
0.78,35,0.42513
1.92,35,0.448673
0.73,35,0.477225
3.0,35,0.501222
2.2,35,0.524513
1.37,35,0.547991
1.14,35,0.577972
1.47,35,0.602493
1.4,35,0.626677
2.46,35,0.651194
0.95,35,0.675557
2.07,35,0.70395
0.68,35,0.743532
2.33,35,0.773338
1.24,35,0.797635
1.48,35,0.82178
1.45,35,0.846235
0.94,35,0.870127
-0.11,35,0.89879
1.43,35,0.929607
1.38,35,0.955653
1.42,35,0.979776
2.14,35,1.003367
0.88,35,1.026618
1.22,35,1.050034
1.56,35,1.07356
1.56,35,1.097271
1.31,35,1.121092
2.21,35,1.14785
0.4,35,1.17142
0.56,35,1.195061
0.99,35,1.218436
0.04,35,1.24174
-0.17,35,1.265149
-0.11,35,1.288473
1.89,35,1.312738
1.7,35,1.336054
1.07,35,1.364512
0.71,35,1.389638
0.48,35,1.413214
1.91,35,1.436548
0.33,35,1.469511
0.81,35,2.44293
0.27,35,2.467259
1.53,35,2.490888
1.07,35,2.514078
2.49,35,2.537436
2.05,35,2.560757
2.44,35,2.585309
1.84,35,2.609482
1.43,35,2.633116
2.06,35,2.659793
2.0,35,2.686363
1.62,35,2.709718
1.11,35,2.73997
1.54,35,2.763081
0.34,35,2.786651
0.44,35,2.811218
0.9,35,2.835751
0.22,35,2.860957
0.67,35,2.887889
1.81,35,2.912139
1.54,35,2.938857
0.17,35,2.965214
2.37,35,2.995318
0.57,35,3.019577
0.62,35,3.043563
1.32,35,3.067918
0.15,35,3.095143
1.41,35,3.124873
1.71,35,3.148619
2.48,35,3.172356
1.7,35,3.198064
1.9,35,3.222618
0.88,35,3.246321
1.84,35,3.270766
2.65,35,3.301365
2.23,35,3.326668
1.21,35,3.350616
0.62,35,3.375969
0.79,35,3.399863
0.33,35,3.423627
1.49,35,3.447235
0.65,35,3.470932
0.32,35,3.494937
1.99,35,3.52193
2.34,35,3.547329
2.03,35,3.571479
-0.02,35,3.595746
1.66,35,3.619766
1.01,35,3.644517
1.12,35,3.667901
2.51,35,3.691306
1.73,35,3.715703
2.02,35,3.743937
1.63,35,3.767992
1.97,35,3.791737
1.12,35,3.815547
2.37,35,3.847449
0.8,35,3.871493
0.98,35,3.897674
2.84,35,5.441574
0.89,35,5.497966
1.28,35,5.598565
1.45,35,5.659713
2.29,35,5.709292
2.04,35,5.764137
2.28,35,5.826607
1.12,35,5.855845
0.39,35,5.885119
2.38,35,5.908872
0.61,35,5.933007
1.74,35,5.9572
1.66,35,5.984526
0.27,35,6.008458
1.66,35,6.031717
1.65,35,6.063438
2.62,35,6.091091
2.4,35,6.11458
0.34,35,6.138438
1.26,35,6.162023
1.38,35,6.186108
1.37,35,6.209749
0.83,35,6.237585
0.96,35,6.26062
0.34,35,6.284626
1.36,35,6.318515
0.41,35,6.34204
2.19,35,6.365546
2.17,35,6.392605
1.76,35,6.415869
0.21,35,6.439136
1.64,35,6.462864
2.45,35,6.486602
1.02,35,6.510028
1.63,35,6.537018
3.06,35,6.560434
1.6,35,6.58372
1.03,35,6.613285
1.16,35,6.637871
1.01,35,6.661669
1.0,35,6.685381
2.76,35,6.709541
3.12,35,6.733024
2.23,35,6.763537
2.0,35,6.787033
1.45,35,6.810653
1.32,35,6.834493
1.47,35,6.858598
2.1,35,6.884618
2.18,35,6.908314
1.29,35,6.931956
1.31,35,6.955564
1.56,35,6.983119
2.41,35,7.006687
1.63,35,7.036032
3.06,35,7.064284
2.49,35,7.090245
0.61,35,7.113934
0.59,35,8.090344
2.26,35,8.114071
2.03,35,8.137646
2.51,35,8.161045
1.31,35,8.184422
2.79,35,8.207876
2.6,35,8.231229
2.48,35,8.254364
1.44,35,8.27783
0.91,35,8.308434
1.21,35,8.331643
2.87,35,8.355147
1.15,35,8.379286
0.9,35,8.403171
1.46,35,8.435799
0.74,35,8.458971
1.09,35,8.482665
1.39,35,8.50648
1.89,35,8.538461
2.01,35,8.570403
1.71,35,8.59388
2.43,35,8.618027
1.09,35,8.644043
2.29,35,8.667886
2.27,35,8.692042
0.62,35,8.7352
2.01,35,8.762893
2.23,35,8.790511
1.89,35,8.814995
1.84,35,8.839211
2.14,35,8.863594
0.74,35,8.889519
1.57,35,8.913185
1.72,35,8.936738
1.73,35,8.960134
1.51,35,8.987032
1.21,35,9.010647
1.84,35,9.038008
1.07,35,9.061532
1.54,35,9.085546
1.01,35,9.116257
1.06,35,9.139851
0.85,35,9.163436
1.59,35,9.188085
2.44,35,9.215007
1.84,35,9.238963
1.83,35,9.262765
2.0,35,9.28667
0.67,35,9.313594
1.26,35,9.337512
2.27,35,9.361501
1.7,35,9.386206
1.35,35,9.409771
1.5,35,9.453531
0.65,35,9.477114
1.46,35,9.501597
1.57,35,9.525407
1.71,35,9.553091
0.91,35,9.576681
1.52,35,10.539707
1.53,35,10.564516
1.81,35,10.588457
0.92,35,10.612558
1.41,35,10.636688
1.23,35,10.660799
2.42,35,10.685096
1.41,35,10.709302
1.74,35,10.733191
1.39,35,10.760653
2.66,35,10.784247
2.01,35,10.811993
2.49,35,10.835688
1.14,35,10.859917
1.18,35,10.886319
0.47,35,10.909852
0.99,35,10.933504
0.69,35,10.957028
1.17,35,10.984535
1.26,35,11.008295
2.11,35,11.032032
0.67,35,11.055678
2.59,35,11.079695
2.26,35,11.122157
1.48,35,11.152628
0.45,35,11.176524
1.09,35,11.20671
0.3,35,11.230223
1.8,35,11.253883
1.42,35,11.277633
1.33,35,11.301209
2.7,35,11.326268
2.66,35,11.349842
2.43,35,11.373684
2.72,35,11.39879
2.73,35,11.427465
2.14,35,11.451015
2.81,35,11.475605
2.56,35,11.49951
0.95,35,11.526414
1.71,35,11.550105
2.77,35,11.574011
2.82,35,11.599249
1.94,35,11.623611
1.29,35,11.650923
1.68,35,11.674633
0.94,35,11.698626
2.65,35,11.722763
0.33,35,11.746427
1.97,35,11.770325
2.05,35,11.794054
2.46,35,11.827306
0.88,35,11.852522
1.35,35,11.881142
1.84,35,11.905306
1.74,35,11.929133
0.54,35,11.953404
2.66,35,11.977629
2.6,35,12.962135
1.67,35,12.985978
2.43,35,13.009676
2.75,35,13.033767
1.52,35,13.057744
1.82,35,13.081366
1.42,35,13.104887
1.56,35,13.128561
1.77,35,13.152529
2.95,35,13.184188
2.1,35,13.212863
1.79,35,13.237448
2.08,35,13.261139
1.06,35,13.285139
0.91,35,13.309581
1.11,35,13.333321
1.38,35,13.357754
1.23,35,13.381131
1.23,35,13.409408
1.93,35,13.432965
0.52,35,13.456917
1.24,35,13.482063
1.89,35,13.527348
1.82,35,13.55307
1.65,35,13.577324
2.69,35,13.601319
2.61,35,13.629668
1.09,35,13.653931
3.03,35,13.678111
1.07,35,13.702161
1.96,35,13.726466
2.63,35,13.75055
2.36,35,13.774583
2.37,35,13.798972
0.97,35,13.825941
1.45,35,13.85357
2.19,35,13.879947
1.33,35,13.904678
2.32,35,13.929147
1.81,35,13.952921
1.9,35,13.9765
2.56,35,14.000408
1.05,35,14.024337
2.15,35,14.048288
2.34,35,14.076211
1.31,35,14.100125
2.03,35,14.123728
1.19,35,14.147547
2.33,35,14.171221
2.37,35,14.198133
1.56,35,14.245317
1.69,35,14.26964
0.23,35,14.297096
2.0,35,14.322229
1.46,35,14.346068
2.26,35,14.370515
2.26,35,14.395427
1.97,35,14.433705
1.19,35,14.457293
1.73,35,15.424228
2.42,35,15.448173
1.03,35,15.471586
1.96,35,15.495248
1.67,35,15.518652
1.72,35,15.542251
2.2,35,15.566425
2.87,35,15.590285
2.8,35,15.614435
1.34,35,15.647331
1.62,35,15.671149
2.11,35,15.696028
1.38,35,15.719743
1.69,35,15.743402
2.21,35,15.766935
1.56,35,15.790459
2.69,35,15.814567
1.71,35,15.838608
1.67,35,15.86629
1.65,35,15.894055
2.43,35,15.935928
1.01,35,15.959997
2.28,35,15.983729
2.17,35,16.007225
2.79,35,16.030849
1.81,35,16.054286
2.47,35,16.08242
2.68,35,16.106162
1.23,35,16.129965
0.51,35,16.156021
2.16,35,16.179699
2.36,35,16.20332
1.74,35,16.22744
2.5,35,16.257862
2.46,35,16.281461
2.43,35,16.30973
2.66,35,16.333668
2.84,35,16.357589
3.11,35,16.381546
2.06,35,16.406371
2.07,35,16.432778
1.74,35,16.457424
1.45,35,16.481266
1.46,35,16.505537
2.18,35,16.539432
1.19,35,16.563487
1.89,35,16.588444
2.64,35,16.612993
1.42,35,16.637799
1.46,35,16.680751
2.03,35,16.708889
1.18,35,16.733619
2.44,35,16.761986
1.29,35,16.785685
1.32,35,16.814318
2.01,35,16.83885
2.67,35,16.862731
1.16,35,16.88823
1.78,35,17.852708
1.02,35,17.877925
1.87,35,17.902638
2.89,35,17.926492
1.71,35,17.949994
1.82,35,17.973721
2.32,35,17.997687
2.99,35,18.021444
3.01,35,18.046237
1.54,35,18.07439
2.53,35,18.098539
1.65,35,18.12588
1.15,35,18.149429
1.76,35,18.1728
2.21,35,18.196764
1.98,35,18.220631
0.9,35,18.244171
1.3,35,18.26753
1.58,35,18.302389
1.93,35,18.344031
1.7,35,18.367515
1.85,35,18.39169
1.44,35,18.417624
1.98,35,18.440994
1.85,35,18.464588
1.64,35,18.487739
1.94,35,18.515222
1.13,35,18.538488
1.84,35,18.56184
1.25,35,18.585211
0.83,35,18.608514
1.48,35,18.631913
1.34,35,18.659581
2.18,35,18.682755
2.78,35,18.706013
2.56,35,18.732877
0.83,35,18.758048
2.8,35,18.781405
2.62,35,18.804721
0.99,35,18.828006
1.87,35,18.851588
1.64,35,18.884482
1.48,35,18.91632
1.97,35,18.943499
7.58,26,18.96076
1.96,35,18.984242
1.9,35,19.009165
3.02,35,19.033699
3.3,35,19.074718
1.7,35,19.098011
0.85,35,19.12113
1.49,35,19.147597
0.9,35,19.174362
2.53,35,19.203629
2.12,35,19.227143
1.37,35,19.251272
1.85,35,19.274739
1.18,35,19.305008
2.26,35,19.33236
2.32,35,20.279557
1.4,35,20.303844
1.04,35,20.334861
3.34,35,20.358921
1.65,35,20.382881
2.39,35,20.407374
2.2,35,20.431282
0.91,35,20.460052
1.86,35,20.487634
0.92,35,20.511481
1.41,35,20.534768
1.69,35,20.558712
7.14,26,20.57675
1.89,35,20.600379
1.1,35,20.624387
3.08,35,20.649041
2.36,35,20.672917
1.14,35,20.700926
2.15,35,20.731021
0.29,35,20.759794
2.61,35,20.784204
1.61,35,20.808245
2.72,35,20.832721
2.8,35,20.857188
1.7,35,20.882502
1.63,35,20.909841
1.82,35,20.936197
2.84,35,20.959759
2.62,35,20.983557
2.11,35,21.007403
2.54,35,21.031281
2.17,35,21.054998
1.32,35,21.07853
2.03,35,21.104642
1.75,35,21.131991
3.0,35,21.155905
2.49,35,21.179505
2.95,35,21.203138
2.59,35,21.227243
1.23,35,21.250908
1.46,35,21.274593
1.94,35,21.29849
1.82,35,21.323099
1.61,35,21.35764
1.67,35,21.385048
2.38,35,21.409623
2.17,35,21.450974
2.52,35,21.47453
2.45,35,21.498357
1.9,35,21.522303
1.0,35,21.545755
1.96,35,21.573517
1.31,35,21.597252
1.63,35,21.621406
2.37,35,21.651371
2.02,35,21.67759
1.23,35,21.7015
1.23,35,21.725658
1.99,35,21.754668
1.13,35,22.73528
2.33,35,22.75897
2.21,35,22.782932
1.98,35,22.806527
1.16,35,22.831003
2.08,35,22.855194
2.14,35,22.881594
2.41,35,22.906009
2.65,35,22.929914
2.36,35,22.957251
1.13,35,22.983653
2.09,35,23.007451
2.14,35,23.031516
2.11,35,23.055717
0.94,35,23.079536
2.12,35,23.103208
1.83,35,23.144453
1.99,35,23.172173
1.15,35,23.195934
1.84,35,23.219518
1.23,35,23.243174
1.71,35,23.269188
2.14,35,23.292968
1.14,35,23.317895
1.29,35,23.341389
1.53,35,23.365386
