r,l,t
0.6,35,0.033683
-0.29,35,0.057993
-0.02,35,0.081153
0.01,35,0.104526
-0.05,35,0.127784
0.5,35,0.151071
0.01,35,0.178073
-0.05,35,0.201112
-0.18,35,0.224266
0.24,35,0.251079
0.32,35,0.274236
0.18,35,0.297486
0.31,35,0.320724
0.35,35,0.343858
0.17,35,0.367311
0.29,35,0.394374
0.13,35,0.417691
0.25,35,0.44082
0.17,35,0.46782
-0.2,35,0.495007
0.34,35,0.521215
-0.11,35,0.544394
0.51,35,0.567879
0.54,35,0.59125
0.44,35,0.618017
0.0,35,0.642581
-0.02,35,0.669153
-0.08,35,0.694739
-0.01,35,0.739229
0.27,35,0.766043
0.56,35,0.797052
0.09,35,0.822588
0.05,35,0.84868
-0.02,35,0.872887
0.06,35,0.897416
-0.01,35,0.928576
0.28,35,0.955976
0.23,35,0.980003
0.66,35,1.005406
-0.15,35,1.03048
0.29,35,1.055745
0.18,35,1.079246
0.63,35,1.103186
0.15,35,1.130443
0.05,35,1.154186
0.23,35,1.178382
0.05,35,1.201984
0.33,35,1.225363
0.4,35,1.252827
0.18,35,1.276686
0.36,35,1.300264
0.59,35,1.323713
0.46,35,1.350536
0.39,35,1.374101
0.34,35,1.39805
0.22,35,1.421438
-0.26,35,1.44747
0.02,35,1.487395
0.23,35,2.461584
0.24,35,2.487434
0.31,35,2.515693
0.02,35,2.546361
0.46,35,2.569925
0.47,35,2.593277
0.04,35,2.617441
-0.06,35,2.641048
-0.03,35,2.670467
0.09,35,2.694453
0.11,35,2.718428
0.02,35,2.743583
0.44,35,2.76724
0.03,35,2.791612
-0.22,35,2.815272
0.03,35,2.838472
0.12,35,2.862242
0.61,35,2.890058
0.28,35,2.914223
0.49,35,2.938378
0.16,35,2.963014
-0.23,35,2.986389
0.64,35,3.010402
0.18,35,3.033571
0.38,35,3.05735
0.35,35,3.085436
0.39,35,3.113653
0.49,35,3.155457
0.25,35,3.178659
0.21,35,3.20173
0.32,35,3.224709
0.45,35,3.247694
0.52,35,3.270784
0.53,35,3.294145
0.49,35,3.317769
0.16,35,3.344423
-0.1,35,3.367676
0.24,35,3.393561
-0.13,35,3.422988
0.4,35,3.454203
0.42,35,3.477504
-0.08,35,3.500664
0.06,35,3.527439
-0.04,35,3.555979
0.5,35,3.580436
0.07,35,3.603567
0.17,35,3.627074
-0.25,35,3.650291
-0.05,35,3.674253
0.24,35,3.697665
0.34,35,3.729238
0.14,35,3.755027
0.29,35,3.779609
-0.11,35,3.803607
0.4,35,3.82744
-0.14,35,3.851785
0.2,35,3.892411
0.31,35,3.91567
0.36,35,3.943309
0.42,35,4.91043
0.39,35,4.940528
0.36,35,4.963751
0.48,35,4.987057
0.49,35,5.010176
0.48,35,5.033736
0.3,35,5.059647
0.62,35,5.082674
0.28,35,5.106386
0.13,35,5.13345
0.49,35,5.156694
0.14,35,5.180126
0.56,35,5.203265
0.27,35,5.226943
0.19,35,5.25044
0.1,35,5.273622
0.72,35,5.296994
0.53,35,5.320144
0.2,35,5.349735
0.52,35,5.372974
0.29,35,5.39747
0.57,35,5.420751
0.72,35,5.445797
0.19,35,5.469143
0.28,35,5.492258
0.14,35,5.535676
0.22,35,5.562342
0.26,35,5.593476
0.41,35,5.623466
0.44,35,5.646804
0.13,35,5.670288
0.73,35,5.694791
0.46,35,5.717853
0.19,35,5.741056
0.19,35,5.768371
0.44,35,5.792265
-0.03,35,5.815428
0.47,35,5.838642
0.11,35,5.861951
0.1,35,5.885158
0.24,35,5.908247
0.11,35,5.931825
0.11,35,5.956437
0.04,35,5.983388
0.24,35,6.006998
0.15,35,6.034523
0.72,35,6.057677
0.16,35,6.081111
0.36,35,6.10483
0.09,35,6.128264
0.18,35,6.155957
0.15,35,6.181058
0.09,35,6.207968
-0.04,35,6.231529
0.02,35,6.273555
0.06,35,6.297015
