#{"t_start": 1663514839.451283, "env_id": "SimpleGridRoadEnv-v0"}
r,l,t
-12.7,119,0.095914
10.97,119,0.187083
7.63,119,0.271269
27.75,119,0.361621
36.16,119,0.445967
38.91,119,0.536093
22.79,119,0.631018
30.92,119,0.718016
-7.01,119,0.833679
4.16,119,0.930378
-1.17,119,1.022228
-13.28,119,1.117448
-10.71,119,1.202966
6.06,119,1.287388
2.53,119,1.378175
-11.88,119,1.465938
31.15,119,1.563762
2.67,119,2.755818
35.69,119,2.843278
14.47,119,2.931292
4.94,119,3.030936
-3.86,119,3.11667
6.75,119,3.206336
-2.76,119,3.297971
8.67,119,3.396456
29.04,119,3.499985
36.45,119,3.591151
8.56,119,3.696733
7.61,119,3.806551
3.1,119,3.89219
9.11,119,3.977906
16.11,119,4.06958
37.24,119,4.153875
29.41,119,4.246488
34.67,119,5.42251
35.77,119,5.508918
12.29,119,5.596011
18.22,119,5.69686
14.38,119,5.787086
13.58,119,5.874991
25.65,119,5.966787
30.25,119,6.060315
17.64,119,6.15368
35.27,119,6.24724
24.35,119,6.333384
28.22,119,6.419427
24.3,119,6.510758
33.46,119,6.598918
20.34,119,6.693041
25.76,119,6.787576
31.4,119,6.906976
23.14,119,8.136009
38.59,119,8.232686
23.39,119,8.328548
26.16,119,8.421081
33.87,119,8.5085
8.26,119,8.59658
33.56,119,8.692967
26.04,119,8.784503
27.07,119,8.876872
35.03,119,8.967997
24.44,119,9.053237
30.98,119,9.146682
15.57,119,9.240052
31.96,119,9.329183
16.41,119,9.411882
8.88,119,9.50385
33.83,119,9.616711
29.55,119,10.820313
34.3,119,10.910293
31.94,119,10.998783
24.71,119,11.090433
35.29,119,11.187005
28.57,119,11.273003
0.59,119,11.371295
31.67,119,11.464687
25.4,119,11.550934
26.29,119,11.645705
16.0,119,11.732869
43.09,119,11.819236
44.5,119,11.912356
45.35,119,12.002251
40.67,119,12.088795
38.63,119,12.189601
29.0,119,12.306991
33.87,119,12.394155
35.46,119,13.61441
30.91,119,13.725526
21.71,119,13.822811
45.9,119,13.914347
28.62,119,14.002274
22.68,119,14.096264
24.14,119,14.206475
14.68,119,14.299096
35.45,119,14.391768
29.47,119,14.48008
29.32,119,14.571959
34.64,119,14.666236
41.3,119,14.757968
22.22,119,14.859614
1.59,119,14.971501
39.11,119,15.062582
40.1,119,15.155524
35.28,119,16.342234
43.86,119,16.427718
27.0,119,16.516553
39.13,119,16.606486
25.61,119,16.697315
42.19,119,16.785096
39.98,119,16.900322
24.11,119,16.988984
27.73,119,17.079411
40.72,119,17.169058
44.58,119,17.254966
37.65,119,17.354838
29.33,119,17.441704
27.66,119,17.526249
44.71,119,17.637034
27.25,119,17.721818
26.26,119,17.813556
39.5,119,19.035763
36.52,119,19.143624
45.63,119,19.261908
40.94,119,19.365209
40.18,119,19.449319
53.65,119,19.54208
38.73,119,19.65055
31.03,119,19.734819
40.14,119,19.829505
42.91,119,19.917625
43.43,119,20.00271
38.77,119,20.092779
36.71,119,20.179915
41.28,119,20.266349
38.54,119,20.383277
32.85,119,20.484044
42.8,119,20.579404
31.48,119,21.850638
46.35,119,21.940077
35.22,119,22.028654
30.72,119,22.119579
52.64,119,22.208983
46.54,119,22.312045
44.77,119,22.401761
47.95,119,22.508759
42.75,119,22.618125
39.08,119,22.717978
43.66,119,22.810175
44.26,119,22.909302
42.55,119,22.993641
35.5,119,23.076008
45.84,119,23.181258
26.5,119,23.270282
23.17,119,23.355958
39.56,119,24.630669
50.34,119,24.71815
48.99,119,24.807293
57.06,119,24.905376
46.4,119,24.990118
