r,l,t
10.44,119,0.11282
-2.39,119,0.21087
-9.51,119,0.296401
-4.87,119,0.389579
2.3,119,0.478809
10.06,119,0.571531
18.16,119,0.662895
-7.49,119,0.75869
-5.41,119,0.874892
1.76,119,0.966073
-2.07,119,1.056674
-5.34,119,1.161994
-6.04,119,1.251087
-4.23,119,1.339987
-4.2,119,1.430943
18.33,119,1.523882
-2.59,119,1.615245
19.98,119,2.811756
11.94,119,2.901226
2.7,119,2.989708
6.43,119,3.078031
6.46,119,3.168214
7.49,119,3.25036
13.99,119,3.340601
11.5,119,3.424037
-4.33,119,3.531424
18.98,119,3.631965
13.58,119,3.717941
11.12,119,3.807068
24.87,119,3.896905
17.41,119,3.987133
14.92,119,4.075195
21.29,119,4.180187
23.75,119,4.280601
23.56,119,5.457411
19.3,119,5.570035
22.64,119,5.675702
-0.48,119,5.759329
27.99,119,5.845369
26.43,119,5.936641
6.42,119,6.018964
8.34,119,6.102284
17.13,119,6.212525
16.81,119,6.29957
21.47,119,6.382261
14.78,119,6.474897
26.48,119,6.56523
10.84,119,6.654686
22.1,119,6.745501
24.57,119,6.835058
-3.72,119,6.938658
15.27,119,8.170669
21.78,119,8.26906
26.04,119,8.359275
15.01,119,8.455665
17.64,119,8.545856
18.68,119,8.63328
24.13,119,8.725494
19.55,119,8.837516
24.61,119,8.938912
23.54,119,9.026809
16.86,119,9.114987
23.89,119,9.206408
22.51,119,9.304687
30.81,119,9.39153
22.0,119,9.491108
11.08,119,9.581753
24.67,119,9.689611
8.86,119,10.899364
29.27,119,10.986158
26.85,119,11.088539
20.51,119,11.191856
17.2,119,11.275625
19.84,119,11.373068
-8.19,119,11.464903
21.4,119,11.571636
25.7,119,11.667704
18.53,119,11.759262
9.29,119,11.853507
30.03,119,11.948026
19.12,119,12.037203
11.87,119,12.128819
24.11,119,12.219299
21.09,119,12.315107
22.27,119,12.435649
25.07,119,12.52584
17.75,119,13.713786
18.3,119,13.803585
19.49,119,13.894024
22.36,119,13.98766
22.39,119,14.079958
21.33,119,14.163361
23.44,119,14.272461
25.89,119,14.356701
29.64,119,14.453073
22.6,119,14.542832
10.1,119,14.629455
19.92,119,14.730333
30.41,119,14.815442
