#{"t_start": 1663505259.8768566, "env_id": "SimpleGridRoadEnv-v0"}
r,l,t
0.95,70,0.063938
0.53,70,0.114795
1.02,70,0.166731
0.14,70,0.219841
0.29,70,0.273176
0.91,70,0.325345
1.38,70,0.37625
0.39,70,0.427839
0.21,70,0.493343
1.0,70,0.556868
0.49,70,0.61977
1.05,70,0.676056
0.94,70,0.729687
0.53,70,0.778515
0.73,70,0.843557
1.1,70,0.904112
1.3,70,0.96179
0.81,70,1.01223
1.21,70,1.063822
0.74,70,1.113314
1.14,70,1.163831
0.44,70,1.224185
0.82,70,1.275533
7.09,64,1.321371
1.07,70,1.383526
1.1,70,1.435213
0.77,70,1.487056
6.47,64,1.532178
1.03,70,1.599529
0.78,70,2.861733
0.98,70,2.912639
1.12,70,2.969752
0.67,70,3.022096
1.29,70,3.078343
1.09,70,3.129393
0.33,70,3.17921
1.13,70,3.24153
1.2,70,3.295177
0.86,70,3.346441
0.86,70,3.394979
0.9,70,3.446197
1.15,70,3.496606
1.18,70,3.548803
0.91,70,3.609643
1.04,70,3.662652
1.01,70,3.711837
0.7,70,3.764441
1.25,70,3.814198
0.33,70,3.863619
0.83,70,3.912923
1.03,70,3.978046
0.68,70,4.027129
1.05,70,4.076344
1.04,70,4.12502
1.39,70,4.175352
6.83,48,4.213397
0.73,70,4.261775
1.21,70,4.316691
0.67,70,4.367954
1.14,70,5.43958
1.14,70,5.489786
0.71,70,5.538344
0.86,70,5.587193
6.71,42,5.616842
1.3,70,5.670461
1.0,70,5.71949
1.48,70,5.772762
1.12,70,5.826977
0.75,70,5.881448
1.18,70,5.930717
0.74,70,5.987108
0.9,70,6.043151
0.64,70,6.103062
6.91,46,6.134995
0.94,70,6.184629
0.6,70,6.239341
6.59,46,6.271311
0.39,70,6.352205
0.5,70,6.452827
1.34,70,6.535061
1.05,70,6.623483
1.31,70,6.718805
0.95,70,6.7971
0.57,70,6.887501
1.22,70,7.054861
1.26,70,7.15505
1.27,70,7.244545
1.1,70,7.378655
