#{"t_start": 1663515250.1150353, "env_id": "GridRoadEnv-v0"}
r,l,t
6.21,119,0.100086
16.75,119,0.192282
12.99,119,0.279896
8.82,119,0.370054
16.92,119,0.463602
-2.71,119,0.548533
28.14,119,0.64116
28.89,119,0.741085
32.33,119,0.856253
29.28,119,0.954348
4.83,119,1.044977
19.48,119,1.141475
22.98,119,1.253528
19.09,119,1.342116
-3.41,119,1.433306
-3.32,119,1.524487
-2.28,119,1.635798
6.45,119,2.844165
3.03,119,2.935649
-5.65,119,3.033576
25.75,119,3.130151
25.33,119,3.218275
-1.61,119,3.304266
22.59,119,3.39486
16.83,119,3.490231
20.53,119,3.583749
21.05,119,3.675184
10.94,119,3.761569
-3.56,119,3.850602
11.32,119,3.94211
25.8,119,4.037635
12.29,119,4.132412
22.26,119,4.225749
-5.33,119,4.325918
13.07,119,5.560587
31.5,119,5.649058
9.41,119,5.73384
20.18,119,5.82016
19.4,119,5.907913
27.79,119,5.99534
12.47,119,6.095874
16.61,119,6.181869
-4.51,119,6.274929
15.99,119,6.367355
21.42,119,6.452584
10.13,119,6.53783
10.37,119,6.628042
15.11,119,6.716936
17.95,119,6.807711
19.29,119,6.898209
22.43,119,6.996952
24.16,119,8.175233
19.56,119,8.265234
30.7,119,8.353072
29.39,119,8.445755
31.85,119,8.53272
25.03,119,8.625464
38.69,119,8.721949
29.5,119,8.829356
25.13,119,8.917191
19.9,119,9.013313
28.51,119,9.100689
9.86,119,9.199025
20.59,119,9.291093
21.38,119,9.387607
11.58,119,9.477532
28.13,119,9.568347
18.89,119,9.67758
22.37,119,10.86968
21.4,119,10.961864
10.93,119,11.051133
31.58,119,11.141991
19.04,119,11.239708
35.07,119,11.323423
33.75,119,11.415887
36.59,119,11.535042
31.05,119,11.636312
17.08,119,11.724766
12.54,119,11.811481
12.88,119,11.90975
14.95,119,12.001175
24.63,119,12.088353
22.23,119,12.177572
21.69,119,12.277479
15.09,119,12.388527
29.51,119,12.479213
27.58,119,13.65931
42.27,119,13.752131
33.41,119,13.837328
24.95,119,13.927046
18.57,119,14.018248
19.46,119,14.11051
28.6,119,14.229115
14.26,119,14.322551
14.25,119,14.427754
13.42,119,14.523902
21.8,119,14.620508
22.9,119,14.711717
27.8,119,14.798271
40.05,119,14.883982
44.55,119,14.998367
28.83,119,15.110322
28.38,119,15.208309
15.56,119,16.494316
32.5,119,16.581126
13.27,119,16.672248
13.42,119,16.770952
22.58,119,16.861243
36.5,119,16.951618
26.54,119,17.072852
18.96,119,17.159719
23.12,119,17.255669
31.87,119,17.354294
32.02,119,17.444937
19.74,119,17.54013
30.05,119,17.636552
33.44,119,17.726977
6.77,119,17.842716
19.85,119,17.930907
3.3,119,18.026592
36.74,119,19.279954
33.0,119,19.372319
23.57,119,19.464811
41.59,119,19.553494
