r,l,t
3.4,70,0.074056
0.6,70,0.127643
1.89,70,0.180115
4.16,70,0.231481
1.1,70,0.286703
2.67,70,0.339033
2.49,70,0.392793
3.24,70,0.447899
2.79,70,0.511995
2.06,70,0.571778
2.28,70,0.627189
4.65,70,0.679916
2.16,70,0.737221
2.21,70,0.792207
2.5,70,0.86477
1.95,70,0.917501
-0.41,70,0.972147
0.96,70,1.044346
0.24,70,1.109876
2.04,70,1.162448
0.38,70,1.21876
3.07,70,1.271376
0.24,70,1.321966
8.99,62,1.36895
2.53,70,1.421592
2.81,70,1.48061
1.87,70,1.532157
-0.14,70,1.583688
2.26,70,1.64661
2.3,70,2.962779
3.13,70,3.020349
3.94,70,3.078758
2.87,70,3.140868
1.91,70,3.198596
2.52,70,3.252393
2.82,70,3.305228
2.9,70,3.357513
2.4,70,3.414927
2.77,70,3.466486
3.99,70,3.517757
5.01,70,3.574242
3.07,70,3.631068
1.61,70,3.69693
4.27,70,3.749386
3.19,70,3.801227
5.02,70,3.860699
3.52,70,3.912443
2.88,70,3.963659
1.02,70,4.018167
3.35,70,4.075565
0.6,70,4.137399
4.11,70,4.189754
2.43,70,4.241426
1.8,70,4.297637
3.99,70,4.352043
2.94,70,4.404072
3.25,70,4.455414
2.22,70,4.532417
6.11,36,4.558928
7.01,34,5.757525
3.77,70,5.811665
2.47,70,5.869684
2.77,70,5.922165
2.0,70,5.974246
3.26,70,6.037927
3.98,70,6.095072
3.45,70,6.149354
2.47,70,6.211325
2.78,70,6.269817
3.83,70,6.32419
7.52,54,6.363538
1.37,70,6.415111
2.98,70,6.491026
1.91,70,6.547152
1.66,70,6.599411
1.92,70,6.6556
2.54,70,6.712767
2.98,70,6.763795
0.12,70,6.814463
2.27,70,6.866719
3.02,70,6.926227
3.33,70,6.977203
2.34,70,7.032416
2.38,70,7.084493
3.3,70,7.142376
1.96,70,7.200551
2.03,70,7.259561
2.98,70,7.320799
3.33,70,7.380989
3.09,70,8.657353
2.01,70,8.708418
2.36,70,8.759543
3.18,70,8.810272
3.28,70,8.864596
2.95,70,8.920474
2.85,70,8.973967
7.95,64,9.023785
3.0,70,9.081608
2.93,70,9.132773
3.59,70,9.185103
4.22,70,9.235557
2.15,70,9.313816
2.99,70,9.365392
3.06,70,9.416485
2.42,70,9.466765
1.89,70,9.518831
3.39,70,9.581102
4.69,70,9.633852
