r,l,t
3.12,22,0.3399
0.77,22,0.349005
0.59,28,0.361414
0.56,32,0.376695
0.55,28,0.388523
0.7,28,0.403281
0.74,22,0.41392
0.67,32,0.428424
0.81,30,0.441044
0.59,18,0.448799
0.64,20,0.466673
0.68,24,0.477378
0.58,22,0.48669
0.64,24,0.50359
0.5,28,0.515886
0.58,20,0.524261
0.73,32,0.538001
0.69,18,0.545685
0.52,26,0.556517
0.73,32,0.570359
0.59,32,0.587501
0.66,31,0.600365
0.61,30,0.614841
0.82,26,0.628717
0.56,32,0.642362
0.58,32,0.662261
0.64,26,0.673234
3.13,20,0.682081
0.72,26,0.693202
0.69,30,0.706504
3.02,14,0.712601
0.53,32,0.726313
0.62,26,0.737757
0.69,26,0.748603
0.76,30,0.76148
0.74,16,0.770167
0.58,28,0.781923
0.53,30,0.797263
0.7,26,0.835535
0.61,22,0.844874
0.68,24,0.855225
0.61,22,0.864708
3.23,24,0.875111
0.58,28,0.886715
0.71,24,0.89704
0.74,22,0.910208
0.71,20,0.919014
0.71,16,0.926071
0.63,22,0.935496
0.68,24,0.945709
0.7,22,0.954978
0.77,28,0.966717
3.08,22,0.976027
0.51,22,0.985657
0.55,32,0.999756
0.68,32,1.014264
0.58,30,1.031158
0.58,18,1.038947
0.57,20,1.047522
0.79,26,1.058612
0.68,32,1.073944
0.73,26,1.08837
0.66,26,1.100305
0.67,26,1.111344
0.64,30,1.123918
0.82,20,1.132466
0.75,32,1.14654
0.58,24,1.156865
0.82,20,1.165367
3.13,18,1.173298
0.7,30,1.186116
0.62,22,1.195457
0.73,20,1.203971
0.53,32,1.218045
3.04,20,1.226681
2.96,24,1.2367
0.75,30,1.249153
0.61,20,1.257722
0.67,22,1.267226
0.71,24,1.291498
0.6,22,1.301001
3.06,20,2.058066
0.68,28,2.079054
0.64,22,2.094147
0.45,32,2.115601
0.7,24,2.130712
0.73,28,2.148614
0.74,26,2.16511
3.02,26,2.181474
0.58,32,2.203007
0.5,32,2.229202
0.68,26,2.246715
0.62,18,2.260019
0.53,24,2.311218
0.71,24,2.329695
3.2,26,2.363255
0.69,20,2.389959
0.37,32,2.411828
0.67,20,2.424998
0.77,22,2.439221
0.63,28,2.456926
0.56,24,2.47236
0.39,32,2.495918
0.61,32,2.517756
0.67,24,2.54953
0.65,32,2.572127
0.64,26,2.589348
0.76,20,2.60292
3.06,16,2.618108
0.67,26,2.637348
0.79,32,2.658556
0.66,28,2.67851
0.58,26,2.695693
3.05,26,2.722966
0.51,24,2.77453
3.2,24,2.804745
0.66,28,2.822943
0.77,22,2.885381
0.59,18,2.926833
0.73,22,2.957441
0.52,28,2.99544
0.42,32,3.016795
0.64,32,3.038369
0.63,24,3.05387
0.55,23,3.068118
0.56,26,3.087211
0.65,30,3.111455
0.58,26,3.128941
0.45,32,3.150788
3.32,28,3.169297
0.55,32,3.193264
3.0,28,3.212082
0.65,16,3.22397
0.71,32,3.246146
3.09,20,3.259819
3.17,20,3.272804
0.62,30,3.298595
0.68,32,3.32508
0.36,32,3.346429
0.64,22,3.366976
0.82,22,3.381747
0.69,32,3.405455
0.77,24,3.431495
0.55,30,3.450572
0.71,30,3.483035
0.57,22,3.498011
0.61,32,3.52045
0.66,32,3.542713
0.78,20,3.57524
0.68,30,3.600766
0.53,22,3.619971
0.7,24,3.634408
0.62,22,3.678959
2.99,22,3.732109
0.79,26,3.773367
0.68,24,3.796082
0.64,18,3.901222
0.71,26,3.933126
0.56,24,3.949538
0.67,20,3.968449
0.66,30,4.75461
0.72,30,4.769602
3.02,10,4.774191
0.72,30,4.786765
0.6,26,4.797457
0.65,32,4.811493
0.74,32,4.825665
0.54,24,4.835751
2.97,12,4.840874
0.52,32,4.854463
0.66,32,4.868418
3.12,18,4.876196
0.63,20,4.884658
2.98,28,4.896124
0.69,24,4.906309
0.69,32,4.920245
0.66,28,4.932083
3.18,22,4.941363
0.58,32,4.954961
0.63,32,4.968945
0.66,32,4.982893
0.7,28,4.994707
0.66,20,5.00342
0.71,28,5.018494
0.52,32,5.032455
3.07,22,5.041674
0.53,32,5.055046
0.6,24,5.065064
0.58,32,5.078708
0.71,32,5.09231
0.66,32,5.106478
0.63,30,5.121063
0.52,32,5.134686
0.63,32,5.160541
0.61,22,5.170325
0.71,18,5.177989
0.62,30,5.190406
0.63,32,5.204138
3.1,20,5.212568
0.7,22,5.221798
0.42,32,5.240441
0.62,20,5.249352
0.65,20,5.258039
3.07,28,5.269839
2.99,26,5.281817
0.57,25,5.294268
3.2,20,5.302772
0.67,32,5.319228
0.78,32,5.33339
3.07,20,5.342022
0.68,16,5.34891
0.63,32,5.363026
0.67,18,5.370869
0.79,30,5.386269
0.56,24,5.398466
0.65,24,5.408596
0.5,32,5.422598
3.07,16,5.429679
0.64,22,5.439105
0.53,20,5.450364
0.58,28,5.462283
0.6,18,5.470032
2.99,16,5.477364
0.75,30,5.490124
0.66,26,5.501911
2.97,24,5.511944
0.62,28,5.523977
0.53,32,5.541345
0.58,30,5.553966
2.91,14,5.560057
0.63,24,5.570135
0.59,26,5.584364
0.69,26,5.59933
0.55,26,5.610395
2.89,14,5.630082
0.52,32,5.644408
0.58,32,5.658447
3.16,26,5.669603
0.62,22,5.679041
0.67,30,6.376248
0.68,32,6.390808
0.61,26,6.401685
0.66,22,6.410792
0.65,32,6.424528
0.7,20,6.433166
0.58,18,6.441665
0.6,30,6.454783
0.76,20,6.463207
2.97,14,6.469346
0.65,32,6.483358
0.58,32,6.503198
0.5,32,6.516936
0.73,32,6.530687
2.96,18,6.538303
0.74,32,6.552133
2.97,28,6.565898
0.52,32,6.58087
0.45,32,6.597297
0.66,32,6.618695
3.15,18,6.626364
0.44,32,6.640559
0.71,22,6.649977
0.57,30,6.662249
0.65,20,6.670678
0.65,24,6.680584
0.57,32,6.694726
0.66,24,6.704934
0.63,22,6.714596
0.55,32,6.728414
0.73,26,6.739488
0.57,30,6.752158
0.59,22,6.77592
3.07,20,6.784797
0.62,28,6.796813
0.5,32,6.813771
3.04,20,6.825884
3.07,18,6.835491
0.66,22,6.845088
0.62,22,6.854778
0.6,20,6.863394
0.73,26,6.874487
0.7,28,6.886292
3.01,18,6.894507
3.17,24,6.906341
0.65,32,6.920255
2.91,20,6.92882
3.07,26,6.940609
0.69,26,6.953249
0.51,32,6.968898
