r,l,t
0.31,35,0.026667
0.51,35,0.042461
0.77,35,0.058156
0.4,35,0.074718
0.65,35,0.090601
0.69,35,0.10649
0.51,35,0.122484
0.73,35,0.138222
0.78,35,0.153555
0.9,35,0.171173
0.77,35,0.187146
0.93,35,0.203011
0.57,35,0.218923
0.52,35,0.237367
0.88,35,0.258171
0.34,35,0.275024
1.04,35,0.291214
0.36,35,0.307586
0.42,35,0.325114
0.54,35,0.341023
0.92,35,0.356812
0.82,35,0.37268
0.7,35,0.388915
0.65,35,0.406564
0.57,35,0.422744
0.7,35,0.438831
0.61,35,0.457347
0.71,35,0.473105
1.21,35,0.500345
0.17,35,0.516336
0.71,35,0.532082
0.42,35,0.547697
0.44,35,0.563286
0.98,35,0.579127
0.68,35,0.594898
1.11,35,0.613385
0.69,35,0.629765
0.5,35,0.646556
0.73,35,0.664523
0.69,35,0.683173
0.21,35,0.699046
0.19,35,0.717658
0.78,35,0.733346
0.34,35,0.749765
0.36,35,0.765345
0.08,35,0.781249
0.58,35,0.797043
0.71,35,0.812629
0.22,35,0.828167
0.34,35,0.844264
0.39,35,0.863144
0.28,35,0.879317
0.09,35,0.894918
0.84,35,0.914675
0.67,35,0.930565
0.93,35,0.946418
0.33,35,0.962005
0.37,35,0.982962
0.54,35,1.700504
0.76,35,1.71657
0.32,35,1.732277
0.37,35,1.748739
0.43,35,1.764501
0.68,35,1.780897
0.76,35,1.798604
0.73,35,1.815054
0.89,35,1.831074
0.28,35,1.84711
1.14,35,1.863267
0.75,35,1.879745
0.34,35,1.895736
0.96,35,1.914718
0.25,35,1.930573
0.15,35,1.94637
1.0,35,1.962316
0.46,35,1.978142
0.67,35,1.994329
0.77,35,2.012258
0.92,35,2.02854
0.58,35,2.044294
0.66,35,2.060024
0.8,35,2.07599
0.36,35,2.091775
0.74,35,2.107634
0.5,35,2.1267
0.93,35,2.147844
0.52,35,2.16329
0.85,35,2.182512
1.0,35,2.199926
0.57,35,2.215862
0.39,35,2.2337
0.95,35,2.249981
0.67,35,2.267298
0.83,35,2.292524
1.0,35,2.313795
0.48,35,2.331571
0.96,35,2.347898
0.9,35,2.363211
0.92,35,2.379097
0.38,35,2.395021
0.9,35,2.410622
0.81,35,2.426211
0.68,35,2.441831
0.5,35,2.457665
0.75,35,2.473535
0.29,35,2.491291
0.68,35,2.507532
0.58,35,2.525895
0.46,35,2.545262
0.55,35,2.560999
0.65,35,2.578075
0.52,35,2.596651
1.09,35,2.614526
0.9,35,2.630514
0.68,35,2.651871
0.54,35,2.668351
0.97,35,2.684112
0.87,35,3.390466
1.13,35,3.406696
0.83,35,3.42565
0.68,35,3.441521
0.65,35,3.457646
0.69,35,3.473357
0.61,35,3.489672
0.88,35,3.513517
1.11,35,3.53156
0.72,35,3.547756
0.86,35,3.563465
1.13,35,3.579663
0.83,35,3.598385
0.8,35,3.614978
0.95,35,3.630766
0.96,35,3.646316
0.78,35,3.661981
0.83,35,3.677805
0.93,35,3.694113
0.82,35,3.711124
0.91,35,3.72736
0.87,35,3.743927
0.8,35,3.759718
1.0,35,3.775509
0.6,35,3.793529
1.02,35,3.82886
0.76,35,3.844687
0.89,35,3.860457
0.62,35,3.876868
0.78,35,3.892471
0.79,35,3.908483
0.87,35,3.924057
0.83,35,3.939997
0.78,35,3.955658
1.02,35,3.971307
0.88,35,3.99067
0.67,35,4.006887
0.66,35,4.026245
0.97,35,4.042483
0.96,35,4.059958
0.64,35,4.075714
