r,l,t
0.38,28,0.019582
0.27,32,0.034369
0.36,24,0.045606
0.31,32,0.059857
0.3,32,0.07409
0.26,26,0.085331
2.88,20,0.093838
0.35,22,0.103245
0.29,26,0.114494
0.32,20,0.123187
0.35,30,0.135951
2.8,18,0.143677
0.27,32,0.158272
0.37,28,0.17053
0.34,22,0.18007
0.25,30,0.193025
0.45,22,0.202555
0.37,30,0.215868
0.26,32,0.229999
0.3,26,0.244799
0.37,24,0.255174
0.39,16,0.262232
0.39,28,0.274135
0.37,24,0.28442
0.37,24,0.294702
0.26,24,0.304781
0.32,16,0.311769
0.4,18,0.31953
0.24,32,0.334267
0.36,32,0.349258
0.24,32,0.363235
0.38,32,0.377113
0.34,32,0.391408
0.28,22,0.400753
0.34,30,0.413409
0.33,28,0.424947
0.31,22,0.434365
0.29,18,0.443521
0.34,32,0.46927
0.45,32,0.483406
0.34,22,0.492793
0.37,22,0.501982
0.31,32,0.516199
2.73,18,0.523965
0.38,24,0.534082
0.27,30,0.553075
0.27,16,0.560055
2.78,18,0.567837
0.26,32,0.582548
0.21,32,0.596464
0.32,26,0.607457
0.37,30,0.620051
0.43,24,0.630084
0.25,28,0.642463
0.31,20,0.656635
0.26,24,0.667029
0.39,28,0.67872
0.36,22,0.687985
0.36,32,0.701752
0.26,22,0.711161
0.37,20,0.719765
0.35,26,0.730596
0.34,30,0.746906
0.36,32,0.761178
0.37,22,0.77056
0.37,22,0.779878
0.34,18,0.79037
0.35,32,0.80491
0.31,22,0.816375
0.38,26,0.827234
0.38,30,0.839976
0.31,28,0.855997
0.39,22,0.867267
0.32,24,0.877718
0.27,24,0.888018
0.33,30,0.900378
0.35,32,0.914569
0.3,32,0.935212
2.73,14,0.941318
0.26,32,1.607507
0.32,32,1.621671
0.4,24,1.631882
0.31,24,1.642132
0.36,30,1.654752
0.46,28,1.67335
0.37,27,1.684896
0.34,20,1.693468
0.32,32,1.70745
0.28,26,1.718473
0.31,32,1.732451
0.37,28,1.744432
0.38,18,1.752318
0.44,30,1.764761
0.3,32,1.778583
0.37,26,1.789581
0.4,26,1.806114
0.36,26,1.821231
0.35,20,1.829754
2.88,18,1.837619
0.38,32,1.85204
0.32,32,1.870006
0.29,24,1.880398
0.3,22,1.889798
0.36,32,1.903897
0.23,32,1.918113
0.35,22,1.928499
0.32,32,1.942812
0.32,32,1.956882
0.34,32,1.971057
0.26,32,1.985136
0.42,28,1.998765
0.37,24,2.009424
0.27,22,2.018777
0.37,20,2.027334
0.37,28,2.044785
0.4,30,2.060596
0.36,32,2.074999
0.26,32,2.089129
0.34,26,2.10014
0.31,16,2.107157
