r,l,t
0.21,35,0.02624
1.13,35,0.044158
2.07,35,0.060205
1.03,35,0.076136
-0.17,35,0.092185
0.49,35,0.108284
-0.27,35,0.124811
1.17,35,0.140785
0.71,35,0.156938
1.66,35,0.178762
2.52,35,0.194924
2.17,35,0.211006
1.24,35,0.227811
2.5,35,0.246701
1.71,35,0.263121
1.83,35,0.279081
1.94,35,0.294996
-0.08,35,0.310893
1.44,35,0.326921
2.79,35,0.342909
2.45,35,0.35894
1.88,35,0.374817
1.66,35,0.391223
2.21,35,0.407627
0.85,35,0.423645
1.64,35,0.444517
2.02,35,0.460477
0.11,35,0.476489
-0.11,35,0.504063
0.96,35,0.519926
2.26,35,0.536312
1.3,35,0.552492
1.73,35,0.568588
0.52,35,0.584822
0.68,35,0.600997
0.72,35,0.624728
2.11,35,0.642187
-0.15,35,0.660998
0.61,35,0.676691
1.58,35,0.692198
1.36,35,0.71
-0.0,35,0.726296
2.11,35,0.744732
3.67,35,0.761696
1.01,35,0.77748
1.33,35,0.793463
2.1,35,0.809166
3.26,35,0.824936
0.07,35,0.840736
1.6,35,0.861193
0.93,35,0.881105
1.48,35,0.898714
-0.05,35,0.915639
2.45,35,0.932267
1.5,35,0.950536
1.75,35,0.969191
2.41,35,0.984814
0.29,35,1.005035
1.45,35,1.700366
1.57,35,1.716591
2.08,35,1.733637
1.55,35,1.75027
0.97,35,1.770183
1.48,35,1.78625
1.52,35,1.802706
1.83,35,1.81901
0.89,35,1.835139
1.87,35,1.851344
0.95,35,1.867494
1.64,35,1.883714
1.3,35,1.901657
1.48,35,1.926487
1.1,35,1.943728
0.73,35,1.959955
2.25,35,1.977979
1.73,35,1.993551
3.2,35,2.008809
2.95,35,2.025777
1.32,35,2.041797
0.92,35,2.057745
3.19,35,2.073814
2.19,35,2.090104
2.83,35,2.106064
0.9,35,2.122353
1.94,35,2.141958
0.4,35,2.172003
1.4,35,2.188576
1.5,35,2.205641
2.76,35,2.221742
1.08,35,2.237713
2.22,35,2.253752
0.57,35,2.270114
1.41,35,2.286511
7.57,32,2.300761
1.33,35,2.316783
0.94,35,2.333084
1.57,35,2.35214
