r,l,t
0.32,14,0.038537
0.38,18,0.081013
0.2,32,0.132376
0.3,18,0.16529
0.22,18,0.188712
0.26,30,0.24434
0.27,24,0.278783
2.79,24,0.318052
0.21,16,0.347667
0.33,28,0.385409
0.22,20,0.413641
0.29,16,0.434601
0.35,32,0.477751
0.25,14,0.498066
0.26,24,0.531266
0.23,24,0.567945
0.27,22,0.595964
0.3,22,0.627744
0.2,32,0.675536
0.2,32,0.723997
0.15,16,0.750556
0.24,22,0.779987
0.27,22,0.813182
0.34,22,0.843588
0.29,16,0.864244
2.79,24,0.896089
0.2,18,0.917742
0.2,22,0.954676
0.32,14,0.979522
0.21,18,1.00253
0.21,20,1.029087
0.19,18,1.056361
0.25,22,1.084052
0.19,18,1.109094
0.21,20,1.137027
0.18,30,1.177128
0.25,18,1.207333
0.26,22,1.238192
0.33,26,1.271528
0.23,18,1.296302
0.22,22,1.324594
0.25,32,1.36706
0.15,18,1.393506
0.29,18,1.419512
0.25,22,1.446682
0.31,18,1.472318
0.19,32,1.538974
0.27,22,1.566878
0.15,32,1.614977
0.3,14,1.63535
0.22,32,1.685885
0.22,14,1.705232
0.35,22,1.732515
0.22,16,1.758877
0.21,22,1.794035
0.2,32,1.845481
0.21,22,1.877304
0.14,16,1.89813
0.38,16,1.920438
0.31,16,1.945224
0.3,22,1.977036
0.26,16,1.998856
0.23,18,2.021892
0.26,14,2.042668
0.29,16,2.068458
0.25,18,2.09392
0.32,24,2.127591
0.24,26,2.167455
0.22,14,2.187582
0.31,22,2.215826
0.27,24,2.250992
0.27,24,2.28461
0.33,14,2.304887
0.4,16,2.325327
0.22,18,2.347176
0.25,14,2.37418
0.25,24,2.406708
0.27,16,2.428002
0.2,16,2.449017
0.23,16,2.473655
0.25,14,2.489889
0.17,18,2.518164
0.19,20,2.544575
0.26,26,2.577244
0.2,32,2.626665
0.32,16,2.64853
0.29,20,2.679756
0.26,16,2.704525
0.27,14,2.723599
0.26,32,2.763926
0.26,30,2.808072
0.32,22,2.856227
0.25,22,2.899973
0.21,26,2.960189
0.29,14,2.995306
0.27,24,3.06818
0.24,16,3.100902
0.23,14,3.131896
0.22,24,3.191757
0.27,14,3.219584
0.3,16,3.25825
0.32,20,3.305928
0.38,30,3.37105
0.2,32,3.443273
0.22,14,3.475143
