r,l,t
0.2,20,0.024274
0.27,20,0.039575
0.31,16,0.053041
0.17,24,0.072833
0.22,14,0.084675
0.3,18,0.099785
0.21,22,0.118556
0.22,24,0.138098
0.3,20,0.15451
0.25,24,0.174085
0.26,28,0.197139
0.2,16,0.21049
0.14,16,0.223829
0.23,28,0.246891
0.22,28,0.269056
0.17,18,0.281719
0.29,22,0.296366
0.22,26,0.31317
0.21,18,0.32513
0.25,18,0.337956
0.2,16,0.35414
0.23,22,0.368897
0.38,26,0.387133
0.35,14,0.396961
0.3,30,0.416294
0.33,28,0.434322
0.2,22,0.449778
0.25,32,0.471782
0.22,16,0.482404
0.31,14,0.492559
0.25,30,0.513156
0.21,14,0.522991
0.37,14,0.532542
0.29,16,0.544288
0.31,18,0.556399
0.34,18,0.569245
0.27,16,0.580033
0.23,16,0.59076
0.26,16,0.605031
0.25,20,0.622421
0.22,20,0.635731
2.83,14,0.64573
0.14,16,0.656445
0.28,18,0.668408
0.25,24,0.68809
0.26,30,0.709416
0.21,18,0.721925
0.2,32,0.744602
0.2,18,0.772406
0.26,14,0.782255
0.23,14,0.792044
0.31,28,0.810696
0.24,18,0.823161
0.18,18,0.835338
0.24,14,0.845725
0.27,22,0.860447
0.2,22,0.875087
0.24,16,0.885729
0.26,14,0.895119
0.2,26,0.91265
0.2,18,0.92506
0.21,16,0.936344
0.21,22,0.954583
0.23,18,0.967022
0.21,20,0.980466
0.35,16,0.991938
0.27,22,1.00776
0.3,18,1.020025
0.27,22,1.034711
0.32,16,1.045772
0.24,32,1.067675
0.18,30,1.087646
0.22,26,1.105639
0.24,16,1.11629
0.2,24,1.132846
0.24,20,1.148002
0.22,16,1.159244
0.21,20,1.173445
0.26,22,1.188709
0.23,16,1.199697
0.15,20,1.213362
0.25,20,1.226976
0.22,16,1.238496
0.32,14,1.251469
0.2,26,1.274568
0.15,16,1.285449
0.23,18,1.298319
0.24,14,1.308031
0.33,14,1.318004
0.23,22,1.332693
0.24,26,1.350402
0.29,14,1.360094
0.3,18,1.372274
0.19,26,1.389037
0.21,22,1.403364
0.32,22,1.418267
0.2,22,1.433301
0.22,20,1.448235
0.26,14,1.458218
0.34,18,1.477135
0.23,20,1.49109
0.28,18,1.504103
0.35,22,2.482047
0.23,22,2.497289
0.14,32,2.519614
0.29,24,2.535693
0.27,18,2.549533
0.21,18,2.561958
0.33,14,2.571638
0.28,32,2.593795
0.32,18,2.606086
0.24,20,2.620893
0.27,16,2.631768
0.24,22,2.653081
0.18,26,2.673786
0.24,18,2.685986
0.19,24,2.704998
0.21,16,2.71583
0.19,16,2.731443
0.23,18,2.743498
0.22,22,2.758551
0.18,14,2.768384
0.23,16,2.779284
0.23,24,2.795352
0.21,14,2.804999
0.33,20,2.818441
0.24,20,2.831808
0.28,18,2.844227
