r,l,t
0.75,14,0.023077
0.41,16,0.034929
0.31,16,0.04728
0.29,18,0.06064
0.2,32,0.093447
0.58,16,0.106397
0.27,16,0.11834
0.34,14,0.128685
0.37,22,0.147628
0.46,20,0.162676
0.44,22,0.179391
0.71,16,0.191315
0.56,20,0.208216
0.54,14,0.224033
0.39,31,0.246645
0.44,18,0.260273
0.12,18,0.274167
0.44,20,0.289737
0.32,16,0.305788
0.47,16,0.319494
0.63,26,0.338835
0.51,26,0.357681
0.31,20,0.372729
0.47,16,0.385042
0.22,16,0.397515
0.53,18,0.410794
0.57,20,0.4257
0.41,20,0.440736
0.23,18,0.454531
0.37,20,0.470772
0.55,26,0.498922
0.56,14,0.509365
0.43,26,0.528044
0.46,24,0.545463
0.19,30,0.567316
0.66,18,0.580778
0.61,14,0.596367
0.36,18,0.61235
0.34,28,0.632256
0.29,14,0.642786
0.62,16,0.654685
0.44,22,0.671154
0.29,22,0.687977
0.22,18,0.702281
0.41,16,0.714149
0.42,18,0.731841
0.34,20,0.747978
0.41,20,0.762546
0.56,18,0.775701
0.34,22,0.791554
0.32,20,0.806321
0.37,16,0.836803
0.32,16,0.849266
0.22,26,0.868776
0.44,18,0.882399
0.51,20,0.897555
0.44,14,0.908402
0.29,16,0.920601
0.76,20,0.935449
0.6,16,0.947525
0.44,24,0.965513
0.66,14,0.976171
0.34,20,0.991334
0.29,26,1.019075
0.36,16,1.032955
0.66,18,1.048859
0.32,22,1.065268
0.26,28,1.091046
0.61,14,1.102725
0.37,18,1.116271
0.54,14,1.126977
0.47,26,1.146412
0.58,14,1.157385
0.26,18,1.170877
0.44,16,1.184255
0.69,16,1.198123
0.34,22,1.21426
0.16,26,1.238454
0.83,20,1.256045
0.47,20,1.271104
0.49,18,1.284469
0.41,18,1.298314
0.41,24,1.317675
0.46,18,1.331375
0.68,16,1.343376
0.39,22,1.359417
0.26,18,1.373199
0.09,16,1.38574
0.54,16,1.39766
0.44,18,1.411485
0.16,20,1.42635
0.51,26,1.445317
0.19,20,1.460385
0.24,16,1.472449
0.66,22,1.488817
0.6,16,1.504086
0.46,18,1.51749
0.07,32,1.543247
0.48,18,1.557109
0.16,22,1.573159
0.53,16,1.585165
0.32,22,1.602055
0.44,22,1.625772
0.46,28,1.647614
0.22,18,2.850039
0.49,18,2.869809
0.19,16,2.882306
0.37,22,2.898547
0.41,18,2.912626
0.71,30,2.934653
0.58,16,2.94681
0.44,24,2.970067
0.66,14,2.981354
0.46,20,2.996681
0.34,22,3.01327
0.59,18,3.027186
0.34,16,3.039718
0.26,18,3.053609
0.19,18,3.067696
0.19,16,3.080145
0.29,18,3.093764
0.37,22,3.112727
0.44,22,3.129405
0.44,16,3.142319
0.19,18,3.15854
0.57,28,3.179562
0.34,16,3.191888
0.56,18,3.205784
0.54,14,3.216719
0.39,14,3.227893
0.41,14,3.238929
0.51,28,3.260055
0.39,26,3.284063
0.46,18,3.301555
0.44,14,3.312936
0.61,22,3.330311
0.47,20,3.345595
0.54,20,3.360816
0.66,20,3.375626
0.37,16,3.387862
0.37,18,3.401573
0.19,20,3.419874
0.37,32,3.444559
0.51,18,3.462999
0.42,14,3.474699
0.55,16,3.487098
0.71,18,3.501045
0.66,14,3.511793
0.22,14,3.522826
0.19,18,3.536649
0.56,18,3.552498
0.61,16,3.564723
0.71,22,3.581623
0.64,26,3.601187
0.22,18,3.63511
0.39,32,3.67225
0.12,19,3.687229
0.71,20,3.703159
0.53,16,3.716529
0.49,20,3.731709
0.27,32,3.762938
0.47,14,3.778385
0.44,26,3.802615
0.51,20,3.82139
0.46,18,3.83874
0.44,18,3.85576
0.44,14,3.871615
0.6,14,3.884349
0.22,16,3.896857
0.61,16,3.909267
0.51,18,3.922893
0.16,24,3.940614
0.49,14,3.951603
0.69,30,3.97366
0.46,18,3.987738
0.26,24,4.006804
0.54,14,4.026343
0.69,16,4.038654
0.19,24,4.057711
0.63,20,4.076901
0.44,20,4.092214
0.46,16,4.104227
0.36,14,4.115846
0.55,18,4.129262
0.56,14,4.1405
0.46,24,4.157875
0.37,19,4.172219
0.43,16,4.184264
0.76,18,4.197627
0.64,20,4.212394
0.56,22,4.228807
0.37,26,4.247885
0.22,26,4.267046
0.56,28,4.287213
0.37,14,4.299943
0.65,18,4.3202
0.56,20,4.335137
0.09,22,4.351306
0.38,24,4.369591
0.32,20,4.386693
0.22,20,4.40154
0.53,14,4.412187
0.29,16,4.424181
0.46,24,4.44221
0.56,16,4.454014
0.41,26,4.492904
0.64,30,4.515306
0.19,24,4.532997
0.27,16,4.5451
0.47,16,5.752325
0.51,24,5.769555
0.71,14,5.780033
0.48,26,5.798648
0.42,22,5.814504
0.44,24,5.839601
0.51,16,5.851542
0.32,16,5.863668
0.44,16,5.875927
0.69,24,5.893207
0.51,24,5.910918
0.34,32,5.935369
0.49,32,5.959129
0.38,26,5.978138
0.44,22,5.994271
0.64,16,6.006413
0.46,24,6.023655
0.41,18,6.036811
0.56,20,6.05124
0.38,28,6.071844
0.49,16,6.083594
0.36,20,6.098033
0.41,24,6.119519
0.53,18,6.133262
0.57,14,6.148369
0.63,14,6.159091
0.68,14,6.169499
0.69,16,6.181247
0.63,14,6.19199
3.16,14,6.202313
0.49,14,6.21267
0.56,14,6.22315
0.63,22,6.246272
0.31,24,6.269248
0.69,32,6.294667
0.69,18,6.308154
0.41,14,6.320115
0.63,22,6.337363
0.44,24,6.358966
0.63,24,6.381482
0.51,24,6.399023
0.32,22,6.415602
0.71,16,6.43415
0.61,16,6.447456
0.22,16,6.459546
0.34,32,6.51248
0.61,20,6.527525
0.34,30,6.549212
0.48,20,6.564092
0.46,26,6.583348
0.46,26,6.602458
0.58,16,6.614928
0.44,22,6.631534
0.43,14,6.642057
0.46,18,6.655185
0.53,16,6.66724
0.39,16,6.679347
0.55,14,6.689809
0.19,24,6.708227
0.49,14,6.724069
0.56,22,6.743509
0.78,14,6.754205
0.44,22,6.770171
0.69,16,6.782272
0.46,14,6.792725
0.44,20,6.808004
0.37,24,6.826231
0.09,20,6.840904
0.49,20,6.855528
0.63,14,6.866399
0.51,28,6.887034
0.61,18,6.900234
0.46,18,6.913516
0.51,18,6.926888
0.69,30,6.948347
0.68,14,6.958996
0.35,22,6.975061
0.51,20,6.989958
3.16,12,6.99964
0.54,14,7.010654
0.41,16,7.024053
0.55,20,7.046772
0.47,14,7.061365
0.65,16,7.073726
0.71,16,7.086853
0.54,14,7.097641
0.64,18,7.111118
0.41,22,7.128814
0.51,18,7.143042
0.51,18,7.156568
0.46,20,7.172763
0.36,20,7.191729
0.61,24,7.21396
0.61,16,7.229089
0.29,18,7.246007
0.51,26,7.266798
0.16,18,7.282344
0.41,20,7.318999
3.16,12,7.328832
0.44,24,7.346451
0.41,30,7.370574
0.37,16,7.388552
0.44,18,7.404566
0.59,14,7.41581
0.54,14,7.427253
0.62,16,8.701169
0.59,18,8.715414
0.51,24,8.732955
0.56,22,8.748915
0.58,16,8.76078
0.53,16,8.772509
0.46,28,8.793229
0.51,20,8.808248
0.46,22,8.824509
0.37,32,8.849236
3.16,12,8.858664
0.69,20,8.87384
0.78,14,8.884615
0.48,16,8.896679
0.47,24,8.914531
0.41,32,8.939454
0.41,30,8.961142
0.41,22,8.977069
0.62,18,8.991582
3.21,12,9.0017
0.78,20,9.016937
0.56,16,9.029391
0.46,20,9.044223
0.41,28,9.069876
0.64,16,9.081729
0.61,20,9.096595
0.53,14,9.10764
0.41,18,9.121808
0.78,14,9.132529
0.32,16,9.14993
0.78,18,9.163724
0.57,22,9.179925
0.44,24,9.197677
0.42,22,9.214006
0.32,23,9.230865
0.51,20,9.245846
0.56,18,9.259293
0.68,22,9.275788
3.16,16,9.292747
0.38,20,9.307871
0.43,20,9.323714
0.44,28,9.344877
0.71,18,9.378153
0.37,18,9.391804
0.78,14,9.402653
0.49,18,9.416085
0.51,14,9.431348
0.54,16,9.447114
0.43,20,9.462705
0.69,22,9.479305
0.61,18,9.495177
0.32,16,9.50781
0.76,18,9.521309
0.64,20,9.536084
0.69,18,9.549596
0.43,24,9.571201
0.44,20,9.586532
0.78,26,9.608651
0.63,16,9.621279
0.83,14,9.63203
0.66,14,9.643109
0.44,16,9.65507
0.51,16,9.668627
0.65,18,9.682291
3.16,16,9.694533
0.81,14,9.705397
0.49,20,9.720519
0.65,18,9.733981
0.44,16,9.746306
0.44,18,9.75963
0.34,20,9.774736
0.76,18,9.788139
0.51,16,9.800584
0.78,14,9.811163
0.49,20,9.825763
0.36,14,9.836239
0.51,24,9.853741
3.16,28,9.874519
0.53,20,9.88932
0.57,20,9.906956
0.6,20,9.921622
0.59,16,9.933691
0.64,16,9.946148
0.27,32,9.970616
0.63,24,9.988749
0.53,20,10.004152
0.46,20,10.019284
0.71,26,10.038219
0.64,20,10.05892
0.69,14,10.069779
0.51,14,10.080282
0.34,16,10.092659
0.63,22,10.108749
0.61,22,10.125837
0.54,20,10.140598
0.37,16,10.152669
0.78,14,10.187744
0.34,18,10.201548
0.66,14,10.212903
0.36,32,10.236935
0.58,18,10.250633
0.57,24,10.268496
0.49,14,10.278919
0.55,16,10.290629
0.44,18,10.303754
0.46,30,11.579527
0.56,16,11.591349
0.54,18,11.605206
0.67,14,11.615599
0.48,15,11.626756
0.62,16,11.63864
0.61,18,11.65187
0.27,14,11.662313
0.54,14,11.672994
0.46,32,11.697741
3.21,14,11.708282
0.56,24,11.725597
3.16,12,11.734708
0.46,32,11.758545
0.61,18,11.77204
3.16,12,11.781166
0.44,16,11.793128
0.83,20,11.807915
0.78,22,11.824013
0.44,20,11.838821
0.78,16,11.851497
3.16,14,11.862167
0.74,28,11.882804
0.5,32,11.91152
0.37,26,11.930377
0.51,18,11.94485
3.16,12,11.954331
0.58,18,11.967978
0.59,28,11.995213
0.69,20,12.010278
0.51,26,12.030935
0.46,22,12.04752
0.48,30,12.069759
0.64,14,12.080648
0.56,16,12.092769
0.44,14,12.103388
0.62,16,12.119071
0.43,16,12.132511
0.51,20,12.151565
0.68,22,12.172313
0.58,20,12.187554
0.44,18,12.20182
0.46,22,12.238035
0.16,22,12.25485
0.51,14,12.265952
0.46,32,12.290809
0.59,32,12.315625
0.62,16,12.328381
0.51,18,12.341748
0.39,22,12.358304
0.55,20,12.373394
0.42,16,12.385812
0.56,20,12.400641
0.49,26,12.423801
0.44,28,12.445646
0.62,30,12.468853
0.63,16,12.48132
0.69,26,12.514724
0.46,24,12.532927
0.69,16,12.545205
0.71,24,12.563562
0.37,24,12.581276
0.44,26,12.600581
0.81,16,12.612752
0.53,18,12.626212
0.58,14,12.637329
0.56,18,12.650748
0.66,16,12.662619
0.76,22,12.678902
0.61,16,12.690806
0.44,14,12.701492
0.69,20,12.717374
0.44,14,12.727816
0.63,20,12.742363
0.47,18,12.756889
0.32,22,12.776495
0.74,22,12.796659
0.69,16,12.808472
0.54,26,12.827405
3.16,16,12.839325
0.74,16,12.851255
0.71,14,12.86185
0.59,32,12.887911
0.64,26,12.907704
0.57,16,12.919897
0.66,18,12.933462
0.46,20,12.948335
0.69,28,12.968765
0.6,20,12.983996
0.34,32,13.008221
0.58,14,13.025719
0.78,14,13.036184
0.57,18,13.052552
0.62,16,13.066883
0.43,14,13.07747
0.46,28,13.102107
0.56,14,13.11277
0.44,16,13.124755
0.37,18,13.139055
3.16,14,13.150173
0.58,26,13.170095
0.48,18,13.184398
0.41,22,13.20055
0.47,28,14.395699
0.78,18,14.40905
0.56,26,14.428679
0.62,22,14.445368
0.51,20,14.460908
0.78,28,14.481528
0.69,20,14.498465
0.46,22,14.514484
0.61,26,14.533397
0.66,14,14.548597
0.46,14,14.562471
0.36,32,14.586339
0.76,16,14.598509
0.46,18,14.611604
0.58,20,14.626024
0.56,14,14.637627
0.46,18,14.651819
0.46,18,14.66549
0.56,20,14.680039
0.63,18,14.69362
0.44,14,14.704035
0.36,16,14.715811
0.69,22,14.731689
0.62,22,14.747883
0.69,20,14.762593
0.54,18,14.77599
3.16,18,14.792702
0.63,20,14.808319
0.56,22,14.824412
3.16,12,14.833514
0.76,14,14.844406
0.61,16,14.856244
3.21,12,14.865586
0.65,27,14.885516
0.41,22,14.901349
0.25,32,14.925591
0.42,26,14.94447
0.76,16,14.956182
0.53,24,14.980129
3.16,16,14.99259
0.51,22,15.008507
3.16,16,15.02022
0.47,22,15.035974
0.61,20,15.050403
3.16,14,15.062013
0.58,28,15.087088
3.16,14,15.098897
0.56,16,15.110878
0.48,20,15.126894
0.46,14,15.144022
3.16,16,15.159402
0.69,26,15.18348
3.16,12,15.192669
0.62,28,15.21333
0.71,16,15.225657
0.69,30,15.247235
0.6,14,15.257843
3.16,14,15.268819
0.56,18,15.282478
0.47,32,15.30855
0.6,16,15.321636
0.54,14,15.33234
0.46,24,15.350071
0.69,28,15.370526
0.53,14,15.382007
3.16,14,15.392641
0.68,16,15.406078
0.83,14,15.418523
0.44,18,15.431932
0.62,24,15.453954
0.6,16,15.466674
0.81,14,15.477291
0.37,16,15.489147
0.6,18,15.50485
0.43,18,15.521382
0.57,20,15.536114
0.74,32,15.560472
0.69,24,15.584719
0.46,20,15.599736
3.16,12,15.608833
0.48,22,15.624688
0.64,16,15.636559
0.29,28,15.656569
0.59,20,15.671203
0.43,22,15.687516
3.21,12,15.696691
0.46,20,15.711308
0.62,14,15.721781
0.73,16,15.733572
0.56,14,15.746466
0.53,18,15.760148
0.63,16,15.794002
3.16,12,15.803085
0.44,16,15.81481
0.47,14,15.82574
0.56,24,15.843035
0.74,22,15.859058
0.62,26,15.877986
3.21,20,15.892823
0.69,28,15.913173
3.16,14,15.923631
0.76,14,15.934114
0.61,20,15.948718
0.46,32,15.972288
0.55,20,15.991644
0.54,20,17.227326
0.71,16,17.239266
0.76,18,17.252546
3.21,18,17.265763
0.61,16,17.283494
3.16,14,17.295167
3.16,14,17.305604
0.64,22,17.323301
0.81,14,17.334511
3.16,14,17.345105
0.43,28,17.365346
0.63,22,17.38205
0.56,14,17.392771
0.69,32,17.416873
0.46,20,17.431654
0.61,24,17.449286
0.71,18,17.463285
0.46,18,17.477273
0.69,32,17.509778
0.55,20,17.525306
0.6,24,17.543248
0.7,22,17.559922
0.57,28,17.580609
0.62,18,17.594275
3.16,14,17.605841
0.42,20,17.632542
0.6,16,17.645522
3.16,12,17.655509
0.42,32,17.681137
0.69,26,17.700692
0.71,32,17.725215
3.16,14,17.736016
0.56,14,17.74668
0.76,18,17.760372
0.65,16,17.772388
0.62,24,17.790158
0.62,20,17.823987
0.53,16,17.836143
0.56,16,17.848356
0.56,16,17.860412
0.63,14,17.871106
3.16,18,17.890205
0.59,19,17.907689
0.56,16,17.919948
0.71,16,17.932067
0.56,14,17.942974
0.63,14,17.953807
3.21,12,17.963397
0.6,14,17.974053
0.76,18,17.987929
0.71,16,18.000647
0.53,14,18.011489
0.62,18,18.02499
0.62,24,18.042671
0.56,20,18.057821
3.16,12,18.067189
0.7,22,18.083925
3.16,14,18.095141
0.43,24,18.113137
0.6,14,18.123983
0.32,18,18.141623
3.16,14,18.152275
3.16,14,18.163176
0.56,14,18.174117
3.16,12,18.187972
0.65,20,18.202841
0.32,18,18.216223
0.69,30,18.240169
3.16,12,18.249285
3.16,12,18.259314
3.16,12,18.269483
0.83,18,18.283074
3.16,12,18.293101
0.78,16,18.305329
3.16,12,18.315085
0.63,14,18.326531
3.21,12,18.33637
0.69,18,18.350041
0.6,14,18.360665
3.16,14,18.371186
0.53,14,18.382186
3.21,14,18.39317
0.25,32,18.417305
0.61,18,18.430872
0.49,18,18.444208
3.21,20,18.459632
3.16,20,18.485582
0.39,32,18.520356
0.2,32,18.544825
0.51,22,18.56129
0.41,28,18.5817
0.83,16,18.597106
0.62,20,18.612151
0.6,16,18.658728
0.37,24,18.677191
3.16,12,18.68681
3.21,14,18.697586
0.6,20,18.712669
3.21,12,18.721896
0.62,14,18.732535
0.61,14,18.743158
0.63,16,18.755514
0.57,20,18.770302
0.56,14,18.781132
0.43,32,18.805122
3.16,12,18.814221
0.63,14,18.824777
0.57,28,18.849251
0.76,14,18.863203
0.51,18,18.877112
3.16,14,18.887977
0.78,14,18.898861
3.21,14,18.909523
3.16,12,20.130873
3.16,12,20.142949
0.56,18,20.157576
0.6,14,20.168742
3.16,14,20.17933
3.16,12,20.188384
0.54,20,20.203157
3.16,12,20.212322
0.61,16,20.22405
3.16,12,20.23297
3.16,12,20.242018
0.64,16,20.253854
0.59,32,20.278796
3.16,22,20.302152
3.16,14,20.313383
0.62,16,20.327684
0.76,14,20.338844
0.76,20,20.353588
3.16,16,20.366166
3.16,12,20.375533
0.55,16,20.388033
3.16,14,20.399078
0.76,16,20.411232
3.16,16,20.423609
0.53,16,20.43592
3.16,12,20.445293
0.64,16,20.457736
3.16,12,20.467202
3.21,12,20.476529
0.62,14,20.494535
3.16,18,20.507909
0.56,16,20.519756
3.16,12,20.528933
3.21,18,20.542156
0.66,32,20.56581
0.6,14,20.576291
3.16,14,20.586584
0.71,14,20.597413
0.83,16,20.609183
3.16,14,20.619612
0.76,16,20.631864
0.47,14,20.642511
3.16,14,20.65302
3.16,16,20.686912
0.6,22,20.709022
0.69,20,20.723609
0.74,14,20.734041
3.16,14,20.744518
0.51,18,20.758163
3.21,12,20.767209
0.78,14,20.781809
3.16,16,20.793675
0.6,16,20.805545
0.6,14,20.816036
3.16,16,20.828162
0.6,18,20.841501
3.16,16,20.853356
3.16,14,20.864449
3.16,18,20.878111
3.16,12,20.887668
0.78,18,20.901215
3.16,12,20.910495
0.58,22,20.929378
0.56,16,20.941573
0.76,18,20.954812
0.63,16,20.966845
0.63,26,20.985987
3.16,12,20.995798
3.16,12,21.00524
3.16,12,21.014477
0.61,18,21.027807
0.76,14,21.038463
0.76,18,21.051971
0.48,22,21.068233
3.16,16,21.080378
3.16,14,21.090906
3.16,12,21.100575
0.66,14,21.111232
0.46,18,21.124547
0.62,16,21.136533
0.62,16,21.149534
0.56,22,21.165687
0.61,16,21.177678
3.16,14,21.191021
3.16,14,21.20294
0.37,20,21.217731
3.16,22,21.234004
3.16,14,21.244641
3.16,16,21.257032
0.78,22,21.273371
0.46,22,21.289604
0.51,20,21.304952
3.16,14,21.31682
3.16,12,21.326252
0.69,22,21.342516
3.16,18,21.355834
3.16,16,21.367907
3.16,12,21.377125
0.74,18,21.390839
0.62,14,21.401486
3.16,12,21.410842
0.76,22,21.426998
3.16,14,21.43755
3.21,12,21.446771
0.66,22,21.483698
3.16,12,21.495848
0.62,14,21.507031
0.6,14,21.517578
0.51,14,21.528027
3.21,14,21.538521
0.76,20,21.553056
0.74,30,21.574625
0.71,14,21.585041
3.16,12,21.594599
0.81,14,21.60501
0.6,14,21.615502
3.16,18,21.628822
3.16,22,21.644637
0.6,20,21.663649
0.78,18,21.676889
0.83,22,21.6934
3.16,22,21.713685
0.47,14,21.728529
0.53,22,21.744841
0.74,14,21.755458
0.46,28,22.966833
3.16,14,22.977305
0.46,14,22.988021
3.16,16,23.000354
3.16,12,23.009384
0.56,18,23.022552
0.56,14,23.032917
0.62,18,23.046039
3.16,14,23.056341
3.16,26,23.074841
0.62,16,23.086964
3.16,20,23.10198
3.16,16,23.113773
3.21,12,23.122875
3.21,14,23.133346
3.16,16,23.145168
3.16,12,23.155118
3.16,12,23.164165
0.55,18,23.177197
3.21,12,23.186561
3.16,14,23.197109
0.78,14,23.207537
0.56,14,23.217952
3.16,12,23.226927
3.16,12,23.235924
3.16,14,23.246296
0.48,20,23.260757
0.62,16,23.272531
0.55,22,23.288623
3.16,14,23.305644
0.71,18,23.323057
3.16,16,23.335204
3.16,12,23.344677
0.55,14,23.356048
3.16,12,23.365392
3.16,12,23.374761
3.21,12,23.384524
0.78,14,23.395572
3.16,12,23.405055
3.16,16,23.417098
3.16,12,23.426332
0.62,16,23.459167
3.16,14,23.469957
3.16,12,23.479164
0.59,18,23.494788
0.76,16,23.50757
0.71,14,23.518646
3.16,12,23.527995
3.16,16,23.539999
3.16,12,23.549239
0.55,14,23.559946
3.16,20,23.574933
0.56,14,23.586163
0.76,14,23.597959
3.16,20,23.613361
0.62,24,23.63465
3.21,12,23.64581
0.61,16,23.662836
0.74,28,23.683383
0.69,24,23.701152
3.16,16,23.71347
3.16,16,23.725373
3.16,12,23.734894
3.21,12,23.744323
3.16,14,23.758256
3.16,14,23.773356
3.16,14,23.784408
3.21,14,23.795137
3.21,16,23.807042
3.21,12,23.816332
3.21,16,23.828285
0.53,16,23.840382
3.16,14,23.851182
0.56,20,23.866117
3.21,12,23.87535
3.21,12,23.884879
0.53,16,23.89747
3.16,14,23.908307
3.16,12,23.917719
3.16,14,23.929236
3.21,12,23.938859
3.16,12,23.948765
3.16,12,23.958277
3.21,16,23.971123
3.16,12,23.980917
0.61,18,23.997098
0.76,14,24.008949
0.53,20,24.024024
3.16,14,24.034922
0.44,18,24.048556
3.16,12,24.058337
3.21,20,24.073083
0.53,20,24.088257
3.16,12,24.097668
0.64,22,24.114286
0.76,16,24.12652
3.16,16,24.138711
0.43,16,24.151857
0.61,14,24.162983
0.56,16,24.17526
0.69,24,24.194044
0.53,22,24.216296
0.43,16,24.228611
3.21,14,24.239393
3.21,14,24.251007
3.16,12,24.281145
3.16,12,24.290703
0.71,20,24.306034
3.16,14,24.31755
3.16,18,24.331384
3.16,16,24.343598
0.46,14,24.354123
3.16,12,24.36321
3.16,12,24.372411
0.56,14,24.383198
0.53,16,24.395099
3.16,12,24.404326
3.16,12,24.413684
3.21,12,24.422993
3.16,12,24.434895
3.16,14,24.445525
0.64,18,24.45878
3.16,14,24.474209
0.63,16,24.486665
0.46,32,24.513945
3.16,12,24.523947
0.6,14,24.534559
3.16,20,24.549215
3.16,18,24.562841
3.16,14,24.574008
3.16,12,24.585748
3.16,12,24.597246
3.16,12,24.606531
0.69,14,24.617105
3.16,16,25.806031
3.16,12,25.819408
0.64,18,25.832905
3.21,12,25.842102
3.16,12,25.851179
0.37,14,25.861737
3.16,12,25.870816
3.16,12,25.879996
3.16,14,25.890615
3.16,12,25.899813
3.16,12,25.909123
3.16,14,25.919771
3.21,16,25.931749
3.21,12,25.940897
3.16,16,25.952682
0.69,14,25.963124
