r,l,t
1.24,70,0.680403
2.2,70,0.83665
2.62,70,0.936345
1.69,70,1.041439
1.1,70,1.134576
1.61,70,1.227271
1.77,70,1.31419
0.83,70,1.434027
1.38,70,1.508369
3.45,70,1.593105
2.14,70,1.675501
1.59,70,1.763265
-0.32,70,1.839732
2.93,70,1.930381
1.59,70,2.064924
2.19,70,2.172672
1.06,70,2.271497
2.16,70,2.346598
1.72,70,2.425299
1.35,70,2.49698
1.33,70,2.574738
2.52,70,2.665957
3.37,70,2.737376
2.29,70,2.814978
2.74,70,2.933467
0.27,70,3.007006
0.19,70,3.100571
3.15,70,3.187798
2.41,70,3.332587
2.93,70,5.43731
3.53,70,5.490286
2.18,70,5.540468
4.0,70,5.591736
3.15,70,5.6429
3.25,70,5.699008
2.83,70,5.751554
1.69,70,5.801794
3.44,70,5.855798
1.24,70,5.90605
2.98,70,5.955987
2.64,70,6.006509
3.35,70,6.07065
3.29,70,6.138488
3.07,70,6.188195
1.71,70,6.236993
2.16,70,6.293781
2.57,70,6.358137
3.26,70,6.410129
1.83,70,6.481478
2.52,70,6.536433
0.95,70,6.587293
2.42,70,6.637705
1.62,70,6.686235
3.91,70,6.735934
2.16,70,6.789246
2.97,70,6.838812
1.38,70,6.89116
3.56,70,6.961067
2.35,70,8.077368
2.68,70,8.132005
3.98,70,8.182374
3.28,70,8.232846
1.88,70,8.288387
2.48,70,8.340763
9.27,68,8.39958
1.62,70,8.452525
2.16,70,8.50609
3.27,70,8.555094
3.57,70,8.609038
0.81,70,8.657834
2.4,70,8.716319
7.54,68,8.780264
3.22,70,8.829141
2.14,70,8.877817
2.49,70,8.931282
3.26,70,8.983478
3.36,70,9.033904
3.29,70,9.082741
3.76,70,9.134033
3.04,70,9.187035
2.87,70,9.23671
2.91,70,9.287456
3.45,70,9.343693
4.12,70,9.395788
3.36,70,9.453097
3.43,70,9.518513
1.58,70,9.571369
4.39,70,10.646261
2.41,70,10.694838
3.35,70,10.744179
4.18,70,10.798502
2.21,70,10.85601
3.62,70,10.9051
3.16,70,10.954419
3.49,70,11.003169
2.62,70,11.05753
8.57,54,11.100276
2.39,70,11.151028
2.81,70,11.200883
3.54,70,11.251548
2.79,70,11.325977
2.48,70,11.38375
1.61,70,11.437111
3.17,70,11.496227
2.26,70,11.54632
2.77,70,11.6002
2.69,70,11.651723
3.16,70,11.712825
3.35,70,11.763686
2.43,70,11.819504
2.45,70,11.869138
1.79,70,11.918547
3.03,70,11.971029
2.56,70,12.021704
4.22,70,12.096188
2.96,70,12.146144
3.76,70,12.197313
3.07,70,13.29442
10.04,66,13.341985
8.28,40,13.371006
8.53,70,13.421241
2.96,70,13.47227
8.62,60,13.531293
4.12,70,13.581516
4.0,70,13.631248
2.96,70,13.682942
4.1,70,13.74039
3.38,70,13.802213
2.97,70,13.852233
2.7,70,13.92111
7.67,38,13.948117
9.31,62,13.991753
3.63,70,14.050438
2.62,70,14.104145
3.56,70,14.154914
6.99,26,14.174199
1.34,70,14.223688
4.09,70,14.278256
4.19,70,14.331698
3.79,70,14.381319
3.12,70,14.430537
8.57,66,14.477045
3.67,70,14.535293
3.15,70,14.588291
8.77,46,14.620522
8.44,42,14.673656
3.57,70,14.73205
2.61,70,14.786014
2.91,70,14.835484
8.56,56,15.9436
8.44,46,15.975676
9.11,66,16.021756
3.41,70,16.07274
3.21,70,16.137942
9.65,64,16.186544
7.36,32,16.209763
2.73,70,16.259889
8.08,46,16.299355
4.68,70,16.351319
8.16,42,16.380632
8.53,50,16.416973
7.79,42,16.445997
3.44,70,16.516189
3.16,70,16.568226
3.72,70,16.627231
2.14,70,16.676481
8.35,70,16.740335
3.11,70,16.792202
3.84,70,16.845675
3.47,70,16.896569
8.15,46,16.928663
3.18,70,16.978869
5.17,70,17.032719
4.08,70,17.082985
2.04,70,17.134538
4.1,70,17.182458
3.73,70,17.231036
8.42,44,17.282846
2.91,70,17.334514
3.84,70,17.388164
2.43,70,17.437004
8.34,44,17.472201
3.16,70,18.520177
1.7,70,18.568589
3.02,70,18.62635
3.33,70,18.682799
4.22,70,18.737187
3.08,70,18.787175
4.12,70,18.837225
4.09,70,18.887698
3.79,70,18.948411
3.17,70,18.998987
7.24,38,19.046356
3.65,70,19.099495
7.21,28,19.120444
3.76,70,19.175996
8.78,62,19.22078
9.37,58,19.265881
2.15,70,19.317403
2.82,70,19.370701
7.5,30,19.396681
4.23,70,19.447285
9.87,70,19.499543
8.66,64,19.547972
8.23,48,19.58196
3.28,70,19.632256
3.78,70,19.695731
4.12,70,19.74542
3.2,70,19.815204
8.73,50,19.853934
3.72,70,19.911589
7.96,42,19.942514
7.9,34,19.9677
7.24,30,19.98994
3.41,70,20.040051
2.44,70,21.156409
7.88,38,21.182375
5.05,70,21.233658
2.78,70,21.290363
7.22,22,21.314539
3.44,70,21.41518
8.61,60,21.489197
4.73,70,21.567882
4.0,70,21.699991
3.42,70,21.824717
4.05,70,21.993686
3.66,70,22.142454
3.7,70,22.306055
7.5,50,22.360651
3.88,70,22.439711
7.96,62,22.527359
2.2,70,22.689043
4.21,70,22.834423
3.15,70,22.951343
3.67,70,23.003825
8.28,40,23.032616
8.47,52,23.06915
3.81,70,23.121152
3.13,70,23.173725
8.24,68,23.220855
2.45,70,23.273688
3.7,70,23.343238
7.98,54,23.394012
7.8,46,23.426447
3.77,70,23.481546
10.04,70,23.534959
3.46,70,23.58484
8.94,54,23.623385
7.67,40,24.687057
2.98,70,24.737111
4.16,70,24.786638
8.14,46,24.827766
3.81,70,24.876855
2.87,70,24.92621
9.92,68,24.981056
3.95,70,25.030762
8.64,52,25.06693
8.42,60,25.111214
3.88,70,25.180802
3.67,70,25.230887
7.2,26,25.252484
8.4,38,25.278962
2.76,70,25.334756
7.9,42,25.365207
4.64,70,25.415677
4.15,70,25.471626
4.95,70,25.521555
7.51,64,25.572828
8.35,50,25.607743
4.37,70,25.658171
3.6,70,25.729926
3.47,70,25.899993
8.19,42,25.945308
3.95,70,26.074121
4.07,70,26.203568
2.27,70,26.289871
2.02,70,26.388891
9.22,64,26.457478
3.53,70,26.553862
8.4,48,26.622142
1.75,70,26.699309
3.81,70,28.116391
7.04,32,28.144983
3.39,70,28.197814
9.35,64,28.24326
7.24,26,28.267325
9.12,68,28.31512
8.68,56,28.35931
2.94,70,28.40901
3.68,70,28.458004
8.36,48,28.491965
7.88,34,28.533504
8.04,42,28.563789
3.62,70,28.615747
3.69,70,28.665859
7.77,38,28.692719
7.28,28,28.712898
8.82,60,28.754443
7.83,46,28.786437
7.81,50,28.824739
3.78,70,28.886544
4.4,70,28.94521
4.55,70,28.996036
7.75,58,29.036449
8.7,58,29.0767
7.88,56,29.121464
1.45,70,29.175304
7.6,34,29.199823
3.94,70,29.249311
2.74,70,29.319436
3.73,70,29.371099
3.31,70,29.424857
7.24,30,29.446359
8.82,56,29.491148
4.08,70,29.540181
7.2,30,29.561757
3.38,70,29.611667
8.14,34,30.757365
8.59,48,30.791566
5.2,70,30.841274
8.15,44,30.871763
1.81,70,30.922912
10.48,68,31.000101
3.34,70,31.112847
7.95,38,31.166174
8.12,62,31.211032
