r,l,t
-17.34,119,0.102384
-8.84,119,0.19119
36.91,119,0.289367
20.55,119,0.389383
8.27,119,0.477714
19.25,119,0.564738
15.24,119,0.660064
8.38,119,0.748927
31.78,119,0.855546
42.27,119,0.95007
22.31,119,1.059583
15.36,119,1.166705
23.38,119,1.277423
29.22,119,1.393567
-11.61,119,1.501626
-14.61,119,1.606815
18.66,119,1.708409
16.45,119,2.917624
23.14,119,3.006639
12.61,119,3.093501
26.84,119,3.185911
34.32,119,3.276771
35.57,119,3.365306
35.38,119,3.465073
21.34,119,3.553246
-6.89,119,3.666261
49.49,119,3.761935
21.56,119,3.850818
23.72,119,3.944859
15.38,119,4.036994
22.98,119,4.124901
8.77,119,4.221187
22.78,119,4.313458
43.42,119,4.417151
16.87,119,5.583156
37.79,119,5.696064
28.67,119,5.795784
37.62,119,5.897873
53.35,119,5.98433
42.02,119,6.080313
38.73,119,6.166786
8.96,119,6.254806
35.83,119,6.370808
27.31,119,6.459811
32.8,119,6.555351
50.5,119,6.653117
31.37,119,6.744031
42.87,119,6.831513
18.44,119,6.930096
9.21,119,7.017749
34.61,119,7.128404
12.41,119,8.336286
35.39,119,8.424719
37.03,119,8.511817
19.83,119,8.611829
22.39,119,8.69886
29.38,119,8.790065
25.88,119,8.895365
28.19,119,9.006892
39.61,119,9.094367
21.88,119,9.184444
1.93,119,9.275747
40.28,119,9.364911
39.53,119,9.455124
16.67,119,9.540781
31.32,119,9.643131
25.83,119,9.734726
20.95,119,9.844212
42.18,119,11.006952
24.11,119,11.092841
4.43,119,11.182412
19.16,119,11.27289
23.96,119,11.357533
29.14,119,11.440608
2.6,119,11.532871
44.95,119,11.631614
31.65,119,11.721809
35.66,119,11.831459
34.91,119,11.938237
33.25,119,12.047393
0.12,119,12.155037
29.11,119,12.271502
23.22,119,12.362198
26.99,119,12.44988
25.79,119,12.57837
44.5,119,12.67072
35.45,119,13.828053
40.28,119,13.915396
27.25,119,14.001974
20.54,119,14.095732
21.08,119,14.187887
53.86,119,14.275126
36.78,119,14.389994
45.94,119,14.478087
45.61,119,14.57204
23.0,119,14.663499
27.07,119,14.757866
26.63,119,14.849433
54.81,119,14.937117
36.36,119,15.023016
17.35,119,15.135137
27.08,119,15.223944
-0.05,119,15.315907
33.18,119,16.545246
32.68,119,16.639906
25.11,119,16.728752
31.22,119,16.833423
0.64,119,16.92308
28.53,119,17.010903
29.06,119,17.131824
29.85,119,17.226329
-2.25,119,17.319482
3.62,119,17.404062
30.85,119,17.492767
24.97,119,17.585956
43.57,119,17.670774
37.57,119,17.763194
10.86,119,17.879229
21.25,119,17.963325
23.79,119,18.05176
19.17,119,19.231518
19.09,119,19.330236
14.86,119,19.415871
54.72,119,19.507019
56.2,119,19.596351
32.51,119,19.682505
25.39,119,19.800567
37.05,119,19.896982
23.87,119,19.982049
35.83,119,20.07659
32.29,119,20.163724
55.14,119,20.251019
30.53,119,20.341383
27.76,119,20.429617
30.75,119,20.537817
38.71,119,20.643372
48.46,119,20.746639
39.14,119,21.91171
31.69,119,21.99885
23.17,119,22.084913
42.57,119,22.1754
56.75,119,22.263948
43.68,119,22.371704
25.23,119,22.468025
29.61,119,22.558912
58.12,119,22.646353
28.52,119,22.734541
23.16,119,22.834707
27.01,119,22.958033
39.43,119,23.064864
30.2,119,23.158771
37.32,119,23.272709
22.36,119,23.357777
31.73,119,23.448965
30.99,119,24.608628
-6.56,119,24.700557
6.37,119,24.789684
24.09,119,24.882553
49.18,119,24.978113
53.69,119,25.074044
22.81,119,25.164527
38.15,119,25.253745
37.33,119,25.350211
34.3,119,25.441916
20.89,119,25.533124
54.4,119,25.625089
16.53,119,25.716542
15.74,119,25.807221
47.74,119,25.917556
31.27,119,26.016624
26.27,119,26.109505
31.16,119,26.201268
20.21,119,27.390884
20.99,119,27.48077
30.35,119,27.566468
32.34,119,27.660214
28.93,119,27.767772
25.65,119,27.854907
23.2,119,27.947284
25.66,119,28.042508
24.33,119,28.127826
17.5,119,28.219548
27.06,119,28.313455
25.04,119,28.398861
36.15,119,28.496855
22.41,119,28.586417
20.68,119,28.682853
30.19,119,28.77685
40.45,119,28.864604
52.98,119,30.143512
30.77,119,30.231864
45.76,119,30.321943
63.59,119,30.414973
47.44,119,30.52672
26.99,119,30.637276
11.22,119,30.733899
38.87,119,30.817052
14.95,119,30.903472
20.86,119,30.98712
25.47,119,31.072928
39.9,119,31.168303
20.22,119,31.265136
30.65,119,31.354602
25.89,119,31.447033
31.18,119,31.540554
31.61,119,31.641559
39.64,119,32.851106
60.9,119,32.936073
54.11,119,33.020364
33.36,119,33.114326
28.85,119,33.229821
30.15,119,33.326642
29.82,119,33.412981
14.35,119,33.497799
28.15,119,33.590286
58.84,119,33.681133
26.76,119,33.767039
36.99,119,33.866024
32.13,119,33.967353
41.26,119,34.050958
33.51,119,34.140181
47.12,119,34.232329
24.93,119,34.322031
30.83,119,35.54693
43.75,119,35.63371
25.58,119,35.724018
35.04,119,35.840874
60.84,119,35.927306
60.76,119,36.014224
65.05,119,36.109275
30.24,119,36.20825
26.9,119,36.297508
33.95,119,36.389774
28.85,119,36.480196
66.18,119,36.568464
32.24,119,36.682416
24.73,119,36.775941
38.54,119,36.86774
59.96,119,36.954429
54.35,119,37.042646
42.28,119,38.183424
26.51,119,38.279398
59.68,119,38.36506
58.86,119,38.472477
27.98,119,38.559575
26.62,119,38.667999
36.65,119,38.755764
19.29,119,38.846841
31.9,119,38.937343
57.92,119,39.026079
62.51,119,39.115919
62.93,119,39.211607
29.67,119,39.333705
30.69,119,39.427911
38.98,119,39.516267
46.42,119,39.607324
25.47,119,39.700051
